Date,PX_CLOSE_1D
2/21/08,19.28
2/22/08,19.68
2/25/08,19.65
2/26/08,19.85
2/27/08,20.1
2/28/08,19.83
2/29/08,19.17
3/3/08,18.88
3/4/08,20.32
3/5/08,20.5
3/6/08,20.13
3/7/08,20.09
3/10/08,20.32
3/11/08,20.94
3/12/08,20.98
3/13/08,21.06
3/14/08,20.58
3/17/08,20.67
3/18/08,21.53
3/19/08,20.67
3/20/08,21.1
3/24/08,20.91
3/25/08,20.66
3/26/08,20.33
3/27/08,19.98
3/28/08,19.52
3/31/08,19.51
4/1/08,20.1
4/2/08,20.59
4/3/08,20.85
4/4/08,20.89
4/7/08,20.19
4/8/08,19.5
4/9/08,19.68
4/10/08,20.18
4/11/08,19.11
4/14/08,18.89
4/15/08,18.76
4/16/08,19.34
4/17/08,19.17
4/18/08,19.13
4/21/08,19
4/22/08,18.4
4/23/08,18.8
4/24/08,19.26
4/25/08,19.1
4/28/08,18.99
4/29/08,19
4/30/08,18.66
5/1/08,19.5099
5/2/08,19.7
5/5/08,19.46
5/6/08,19.39
5/7/08,19.26
5/8/08,19.51
5/9/08,19.29
5/12/08,19.87
5/13/08,19.86
5/14/08,19.9
5/15/08,19.64
5/16/08,19.57
5/19/08,19.5
5/20/08,19.08
5/21/08,18.89
5/22/08,19.17
5/23/08,18.92
5/27/08,19.56
5/28/08,19.54
5/29/08,19.63
5/30/08,19.81
6/2/08,19.45
6/3/08,18.95
6/4/08,19.24
6/5/08,19.3
6/6/08,18.89
6/9/08,18.93
6/10/08,18.97
6/11/08,18.73
6/12/08,19.36
6/13/08,20.09
6/16/08,20.79
6/17/08,20.45
6/18/08,20.35
6/19/08,20.5
6/20/08,20.1
6/23/08,19.75
6/24/08,19.98
6/25/08,20.61
6/26/08,19.4
6/27/08,19.29
6/30/08,19.09
7/1/08,19.28
7/2/08,18.8
7/3/08,18.7
7/7/08,18.86
7/8/08,18.84
7/9/08,17.85
7/10/08,18.34
7/11/08,17.91
7/14/08,17.77
7/15/08,18.07
7/16/08,18.32
7/17/08,18.67
7/18/08,18.28
7/21/08,17.81
7/22/08,17.39
7/23/08,17.57
7/24/08,16.96
7/25/08,17.01
7/28/08,16.7
7/29/08,17
7/30/08,17.21
7/31/08,17.32
8/1/08,17.53
