Date,PX_CLOSE_1D
2/21/08,42.21
2/22/08,42.6
2/25/08,42.94
2/26/08,42.72
2/27/08,42.88
2/28/08,41.42
2/29/08,39.74
3/3/08,39.18
3/4/08,38.78
3/5/08,37.55
3/6/08,36.52
3/7/08,36.74
3/10/08,35.31
3/11/08,37.72
3/12/08,37.03
3/13/08,37.14
3/14/08,35.69
3/17/08,35.96
3/18/08,38.93
3/19/08,38.56
3/20/08,41.86
3/24/08,42.45
3/25/08,40.97
3/26/08,39.84
3/27/08,38.64
3/28/08,38.07
3/31/08,37.91
4/1/08,40.86
4/2/08,40.3
4/3/08,40.37
4/4/08,39.41
4/7/08,39.5
4/8/08,38.38
4/9/08,37.93
4/10/08,37.69
4/11/08,36.94
4/14/08,35.58
4/15/08,35.58
4/16/08,36.98
4/17/08,37.47
4/18/08,38.56
4/21/08,37.61
4/22/08,37
4/23/08,36.86
4/24/08,37.87
4/25/08,38.3
4/28/08,38.18
4/29/08,37.86
4/30/08,37.54
5/1/08,39.39
5/2/08,39.79
5/5/08,38.97
5/6/08,39.24
5/7/08,38
5/8/08,37.33
5/9/08,36.65
5/12/08,37.44
5/13/08,36.61
5/14/08,36.8
5/15/08,36.71
5/16/08,36.17
5/19/08,36.1
5/20/08,35.39
5/21/08,34.63
5/22/08,34.73
5/23/08,33.93
5/27/08,34.17
5/28/08,33.87
5/29/08,34.6
5/30/08,34.01
6/2/08,33.58
6/3/08,33.31
6/4/08,31.99
6/5/08,31.99
6/6/08,30.5
6/9/08,29.61
6/10/08,29.62
6/11/08,28.85
6/12/08,29.44
6/13/08,29.78
6/16/08,30.32
6/17/08,29.24
6/18/08,28.37
6/19/08,28.14
6/20/08,27.1
6/23/08,25.88
6/24/08,26.62
6/25/08,26.61
6/26/08,24.81
6/27/08,24.59
6/30/08,23.87
7/1/08,23.81
7/2/08,22.54
7/3/08,22.4
7/7/08,21.53
7/8/08,23.54
7/9/08,22.06
7/10/08,22.36
7/11/08,21.67
7/14/08,20.15
7/15/08,18.52
7/16/08,22.67
7/17/08,26.5
7/18/08,27.49
7/21/08,28.56
7/22/08,32.35
7/23/08,33.44
7/24/08,30.64
7/25/08,29.58
7/28/08,28.06
7/29/08,32.22
7/30/08,33.61
7/31/08,32.9
8/1/08,33.33
8/4/08,32.62
8/5/08,33.58
8/6/08,33.45
8/7/08,31.52
8/8/08,32.25
8/11/08,33.38
8/12/08,31.13
8/13/08,28.86
8/14/08,30.18
8/15/08,30.7
8/18/08,29.3
8/19/08,28.08
8/20/08,29.29
8/21/08,29.04
8/22/08,30.21
8/25/08,28.96
8/26/08,29.02
8/27/08,29.65
8/28/08,31.43
8/29/08,31.14
9/2/08,32.63
9/3/08,32.96
9/4/08,30.6
9/5/08,32.23
9/8/08,34.73
9/9/08,32.52
9/10/08,32.4
9/11/08,33.06
9/12/08,33.74
9/15/08,26.55
9/16/08,29.55
9/17/08,27.2
9/18/08,30.58
9/19/08,37.48
9/22/08,34.15
9/23/08,33.3
9/24/08,33.07
9/25/08,34.37
9/26/08,36.7
9/29/08,30.25
9/30/08,35
10/1/08,38.13
10/2/08,36.37
10/3/08,34.48
10/6/08,32.22
10/7/08,23.77
10/8/08,22.1
10/9/08,19.63
10/10/08,20.87
10/13/08,22.79
10/14/08,26.53
10/15/08,23.82
10/16/08,24.25
10/17/08,23.24
10/20/08,24.4
10/21/08,23.97
10/22/08,22.66
10/23/08,23
10/24/08,21.07
10/27/08,20.53
10/28/08,23.02
10/29/08,22.32
10/30/08,22.78
10/31/08,24.17
11/3/08,23.61
11/4/08,24.53
11/5/08,21.75
11/6/08,20.12
11/7/08,20.49
11/10/08,19.48
11/11/08,18.69
11/12/08,17
11/13/08,17.1
11/14/08,16.42
11/17/08,15.03
11/18/08,15.19
11/19/08,13.06
11/20/08,11.25
11/21/08,11.47
11/24/08,14.59
11/25/08,14.8
11/26/08,15.43
11/28/08,16.25
12/1/08,12.85
12/2/08,14.37
12/3/08,15.05
12/4/08,14.34
12/5/08,15.24
12/8/08,17.84
12/9/08,16.95
12/10/08,16.69
12/11/08,14.91
12/12/08,14.93
12/15/08,14.11
12/16/08,15.1
12/17/08,14.62
12/18/08,13.96
12/19/08,13.8
12/22/08,13.53
12/23/08,12.75
12/24/08,13.53
12/26/08,13.36
12/29/08,12.94
12/30/08,13.24
12/31/08,14.08
1/2/09,14.33
1/5/09,13.98
1/6/09,14.28
1/7/09,13.71
1/8/09,13.54
1/9/09,12.99
1/12/09,11.43
1/13/09,10.65
1/14/09,10.2
1/15/09,8.32
1/16/09,7.18
1/20/09,5.1
1/21/09,6.68
1/22/09,5.71
1/23/09,6.24
1/26/09,6
1/27/09,6.5
1/28/09,7.39
1/29/09,6.78
1/30/09,6.58
2/2/09,6
2/3/09,5.3
2/4/09,4.7
2/5/09,4.84
2/6/09,6.13
2/9/09,6.89
2/10/09,5.56
2/11/09,6.07
2/12/09,5.87
2/13/09,5.57
2/17/09,4.9
2/18/09,4.57
