Date,PX_CLOSE_1D
2/21/08,28.3
2/22/08,28.95
2/25/08,29.41
2/26/08,30.44
2/27/08,30.52
2/28/08,29.39
2/29/08,28.34
3/3/08,28.81
3/4/08,29.14
3/5/08,28.83
3/6/08,27.81
3/7/08,27.06
3/10/08,26.8
3/11/08,28.65
3/12/08,28.5
3/13/08,28.55
3/14/08,28.86
3/17/08,28.82
3/18/08,31.05
3/19/08,30.64
3/20/08,31.16
3/24/08,31.95
3/25/08,31.55
3/26/08,31.32
3/27/08,30.12
3/28/08,29.11
3/31/08,29.5
4/1/08,31.27
4/2/08,31.5
4/3/08,31.53
4/4/08,31.6
4/7/08,31.11
4/8/08,30.93
4/9/08,29.47
4/10/08,29.67
4/11/08,30.23
4/14/08,29.43
4/15/08,29.81
4/16/08,30.54
4/17/08,30.87
4/18/08,32.39
4/21/08,32.08
4/22/08,31.36
4/23/08,32.01
4/24/08,32.99
4/25/08,33.43
4/28/08,33.01
4/29/08,33.56
4/30/08,32.5
5/1/08,33.67
5/2/08,33.1
5/5/08,33.55
5/6/08,33.8
5/7/08,32.58
5/8/08,32.13
5/9/08,32.19
5/12/08,33.51
5/13/08,33.05
5/14/08,33.71
5/15/08,34.59
5/16/08,33.78
5/19/08,32.68
5/20/08,32.42
5/21/08,31.34
5/22/08,31.46
5/23/08,30.85
5/27/08,31.81
5/28/08,31.9
5/29/08,32.07
5/30/08,31.86
6/2/08,31.82
6/3/08,31.73
6/4/08,31.59
6/5/08,31.81
6/6/08,30.47
6/9/08,29.78
6/10/08,29.99
6/11/08,28.91
6/12/08,29.09
6/13/08,30.03
6/16/08,30.44
6/17/08,29.4
6/18/08,29.01
6/19/08,29.68
6/20/08,28.81
6/23/08,28.09
6/24/08,28.3
6/25/08,28.57
6/26/08,29.79
6/27/08,29.06
6/30/08,28.1
7/1/08,28.99
7/2/08,28.01
7/3/08,28.42
7/7/08,28.43
7/8/08,29.31
7/9/08,28.68
7/10/08,28.4
7/11/08,27.25
7/14/08,26.98
7/15/08,27.36
7/16/08,28.82
7/17/08,29.98
7/18/08,29.26
7/21/08,28.96
7/22/08,29.25
7/23/08,29.44
7/24/08,28.17
7/25/08,28.01
7/28/08,27.38
7/29/08,28.13
7/30/08,28.01
7/31/08,27.83
8/1/08,27.57
8/4/08,27.8
8/5/08,29.06
8/6/08,29.05
8/7/08,28.53
8/8/08,29.42
