Date,Close
2/21/08,250.5
2/22/08,251.2
2/25/08,247.4001
2/26/08,249.5
2/27/08,257.2
2/28/08,250.0999
2/29/08,237.1001
3/3/08,230.9
3/4/08,221.0001
3/5/08,221.4999
3/6/08,211.7
3/7/08,209.1
3/10/08,196.9
3/11/08,214.9001
3/12/08,212.1001
3/13/08,210.7001
3/14/08,197.7991
3/17/08,186.2
3/18/08,207.1001
3/19/08,204.1
3/20/08,225
3/24/08,232.7
3/25/08,234.2
3/26/08,220.5
3/27/08,217.8999
3/28/08,208.3
3/31/08,214.2
4/1/08,238.4
4/2/08,240.2
4/3/08,243.6
4/4/08,240.8
4/7/08,246.0001
4/8/08,237.5999
4/9/08,235.8
4/10/08,237.1001
4/11/08,233.6
4/14/08,225.0999
4/15/08,228
4/16/08,234.4
4/17/08,240.3
4/18/08,251.1
4/21/08,250.3
4/22/08,251.2
4/23/08,246.3
4/24/08,257.5999
4/25/08,266.0001
4/28/08,268.1
4/29/08,263.2001
4/30/08,252.7
5/1/08,259.9001
5/2/08,263.9
5/5/08,257.5
5/6/08,258.7
5/7/08,244.8
5/8/08,243
5/9/08,236.3
5/12/08,236.4
5/13/08,230.3
5/14/08,232.5
5/15/08,237.3
5/16/08,231.2
5/19/08,229.9001
5/20/08,221.1
5/21/08,210.6
5/22/08,217.2
5/23/08,211.2
5/27/08,216.6
5/28/08,216.0001
5/29/08,220.3999
5/30/08,218.9
6/2/08,214.6001
6/3/08,214.2
6/4/08,210.8
6/5/08,212.2
6/6/08,200.6
6/9/08,196.0001
6/10/08,202.5999
6/11/08,192.1001
6/12/08,198.9
6/13/08,204.8
6/16/08,208.3
6/17/08,204.6001
6/18/08,203.9999
6/19/08,201.7
6/20/08,193
6/23/08,185.5
6/24/08,188.5001
6/25/08,188.5001
6/26/08,176.7
6/27/08,172.5
6/30/08,167.5999
7/1/08,171.3
7/2/08,168.4
7/3/08,168.2001
7/7/08,163.9999
7/8/08,173.9
7/9/08,164.4
7/10/08,162.8
7/11/08,161.9
7/14/08,152.2
7/15/08,145.6
7/16/08,164.7
7/17/08,179.7
7/18/08,193.5001
7/21/08,196.9
7/22/08,208.9
7/23/08,211.2
7/24/08,190.6
7/25/08,188.5001
7/28/08,174.2999
7/29/08,184.5
7/30/08,188.1
7/31/08,186.9
8/1/08,188.7
8/4/08,188.3
8/5/08,199.2
8/6/08,197
8/7/08,184.7
8/8/08,193.9
8/11/08,198.2001
8/12/08,185.3999
8/13/08,178.1
8/14/08,180.8
8/15/08,185.5
8/18/08,176.2
8/19/08,171.9
8/20/08,174.9001
8/21/08,174.7
8/22/08,181.4
8/25/08,176.1
8/26/08,178.4
8/27/08,181.2
8/28/08,190.8
8/29/08,189.9001
9/2/08,191.1
9/3/08,196.1
9/4/08,183
9/5/08,190.7001
9/8/08,203.2001
9/9/08,188.8
9/10/08,186.7999
9/11/08,186.1
9/12/08,179.6001
9/15/08,152.4
9/16/08,157.5
9/17/08,140.3
9/18/08,166.4999
9/19/08,206.4999
9/22/08,200.0999
9/23/08,199.9001
9/24/08,189.6001
9/25/08,194.1
9/26/08,201.4999
9/29/08,177.5
9/30/08,205.0999
10/1/08,230
10/2/08,225
10/3/08,183.5001
10/6/08,174.1
10/7/08,151.5
10/8/08,144
10/9/08,129.3
10/10/08,141.1
10/13/08,157.5
10/14/08,186.2
10/15/08,162.3
10/16/08,159
10/17/08,148.8
10/20/08,150.9
10/21/08,141.8
10/22/08,133.2
10/23/08,131.1
10/24/08,121.4
10/27/08,117.3
10/28/08,134.1
10/29/08,129.1
10/30/08,131.1
10/31/08,136.5
11/3/08,139.9
11/4/08,146.8
11/5/08,126.3
11/6/08,115.2
11/7/08,118.2
11/10/08,112.1
11/11/08,108
11/12/08,96.4
11/13/08,94.5
11/14/08,95.2
11/17/08,88.9
11/18/08,83.6
11/19/08,64
11/20/08,47.1
11/21/08,37.7
11/24/08,59.5
11/25/08,60.8
11/26/08,70.5
11/28/08,82.9
12/1/08,64.5
12/2/08,72.2
12/3/08,78.2
12/4/08,74
12/5/08,77.1
12/8/08,84.7
12/9/08,85.4
12/10/08,83
12/11/08,75.7
12/12/08,77
12/15/08,74
12/16/08,82.3
12/17/08,78.3
12/18/08,74.3
12/19/08,70.2
12/22/08,67.5
12/23/08,65.2
12/24/08,67.8
12/26/08,67.3
12/29/08,65.7
12/30/08,68
12/31/08,67.1
1/2/09,71.4
1/5/09,70.8
1/6/09,74.6
1/7/09,71.5
1/8/09,71.6
1/9/09,67.5
1/12/09,56
1/13/09,59
1/14/09,45.3
1/15/09,38.3
1/16/09,35
1/20/09,28
1/21/09,36.7
1/22/09,31.1
1/23/09,34.7
1/26/09,33.3
1/27/09,35.5
1/28/09,42.1
1/29/09,39
1/30/09,35.5
2/2/09,36.5
2/3/09,34.6
2/4/09,34.9
2/5/09,35.3
2/6/09,39.1
2/9/09,39.5
2/10/09,33.5
2/11/09,36.9
2/12/09,36.1
2/13/09,34.9
2/17/09,30.6
2/18/09,29.1
2/19/09,25.1
2/20/09,19.5
2/23/09,21.4
2/24/09,26
2/25/09,25.2
2/26/09,24.6
2/27/09,15
3/2/09,12
3/3/09,12.2
3/4/09,11.3
3/5/09,10.2
3/6/09,10.3
3/9/09,10.5
3/10/09,14.5
3/11/09,15.4
3/12/09,16.7
3/13/09,17.8
3/16/09,23.3
3/17/09,25.1
3/18/09,30.8
3/19/09,26
3/20/09,26.2
3/23/09,31.3
3/24/09,30.1
3/25/09,29.5
3/26/09,28.1
3/27/09,26.2
3/30/09,23.1
3/31/09,25.3
4/1/09,26.8
4/2/09,27.4
4/3/09,28.5
4/6/09,27.2
4/7/09,27.6
4/8/09,27
4/9/09,30.4
4/13/09,38
4/14/09,40.1
4/15/09,39.7
4/16/09,40.1
4/17/09,36.5
4/20/09,29.4
4/21/09,32.4
4/22/09,32.5
4/23/09,32
4/24/09,31.9
4/27/09,30.7
4/28/09,28.9
4/29/09,31.2
4/30/09,30.5
5/1/09,29.7
5/4/09,32
5/5/09,33.1
5/6/09,38.6
5/7/09,38.1
5/8/09,40.2
5/11/09,38.6
5/12/09,36.6
5/13/09,34.1
5/14/09,35.5
5/15/09,34.8
5/18/09,36.4
5/19/09,37.7
5/20/09,36.9
5/21/09,37.2
5/22/09,36.7
5/26/09,37.7
5/27/09,37
5/28/09,36.7
5/29/09,37.2
6/1/09,36.9
6/2/09,35.1
6/3/09,33.9
6/4/09,35.7
6/5/09,34.6
6/8/09,34.2
6/9/09,34.1
6/10/09,34.8
6/11/09,34.8
6/12/09,34.7
6/15/09,33.7
6/16/09,32.5
6/17/09,30.8
6/18/09,31.3
6/19/09,31.7
6/22/09,30
6/23/09,30.1
6/24/09,30.4
6/25/09,30.3
6/26/09,30.3
6/29/09,30.2
6/30/09,29.7
7/1/09,29.7
7/2/09,28.8
7/6/09,27.9
7/7/09,26.9
7/8/09,26.2
7/9/09,26.9
7/10/09,25.9
7/13/09,27.8
7/14/09,29.2
7/15/09,31.7
7/16/09,30.3
7/17/09,30.2
7/20/09,27.9
7/21/09,26.5
7/22/09,28
7/23/09,27.7
7/24/09,27.3
7/27/09,26.9
7/28/09,29.7
7/29/09,32.2
7/30/09,31.4
7/31/09,31.7
8/3/09,31.8
8/4/09,32.5
8/5/09,35.8
8/6/09,38
8/7/09,38.5
8/10/09,39.4
8/11/09,36.9
8/12/09,39.8
8/13/09,40.6
8/14/09,40.4
8/17/09,40
8/18/09,41.4
8/19/09,41.3
8/20/09,44.8
8/21/09,47
8/24/09,48.2
8/25/09,47.5
8/26/09,46.3
8/27/09,50.5
8/28/09,52.3
8/31/09,50
9/1/09,45.4
9/2/09,45.6
9/3/09,47.7
9/4/09,48.5
9/8/09,46.8
9/9/09,46.6
9/10/09,47.5
9/11/09,46.1
9/14/09,45.2
9/15/09,41.2
9/16/09,42
9/17/09,44.2
9/18/09,42.6
9/21/09,44.3
9/22/09,46.5
9/23/09,45.2
9/24/09,44.3
9/25/09,43.8
9/28/09,45.7
9/29/09,47
9/30/09,48.4
10/1/09,45.3
10/2/09,45.2
10/5/09,46.7
10/6/09,46.7
10/7/09,46.4
10/8/09,46.5
10/9/09,46.3
10/12/09,47.7
10/13/09,48.3
10/14/09,50
10/15/09,47.5
10/16/09,45.9
10/19/09,45.4
10/20/09,44.3
10/21/09,44.2
10/22/09,44.6
10/23/09,44.6
10/26/09,42.7
10/27/09,42.7
10/28/09,40.8
10/29/09,43.1
10/30/09,40.9
