Date,PX_CLOSE_1D
2/21/08,70.79
2/22/08,71.18
2/25/08,72.25
2/26/08,73.3
2/27/08,74.22
2/28/08,74.39
2/29/08,72.33
3/3/08,73.2
3/4/08,71.74
3/5/08,71.85
3/6/08,70.75
3/7/08,69.84
3/10/08,68.72
3/11/08,72.61
3/12/08,75.25
3/13/08,75.67
3/14/08,74.79
3/17/08,74.46
3/18/08,76.87
3/19/08,73.73
3/20/08,73.82
3/24/08,76.03
3/25/08,76.64
3/26/08,77.36
3/27/08,77.03
3/28/08,77.09
3/31/08,78.29
4/1/08,79.98
4/2/08,78.51
4/3/08,77.07
4/4/08,77.83
4/7/08,77.25
4/8/08,77.59
4/9/08,76.16
4/10/08,75.71
4/11/08,74.8
4/14/08,75.54
4/15/08,75.95
4/16/08,79.02
4/17/08,78.59
4/18/08,85.28
4/21/08,83.33
4/22/08,82.01
4/23/08,81.69
4/24/08,81.82
4/25/08,82.25
4/28/08,83.03
4/29/08,81.51
4/30/08,81.88
5/1/08,82.35
5/2/08,82.8
5/5/08,82.75
5/6/08,83.23
5/7/08,81.63
5/8/08,82.42
5/9/08,81.76
5/12/08,83.82
5/13/08,84.07
5/14/08,82.75
5/15/08,83.5
5/16/08,83.7
5/19/08,84.28
5/20/08,83.84
5/21/08,83.4
5/22/08,82.22
5/23/08,81.55
5/27/08,81.95
5/28/08,83.19
5/29/08,82.78
5/30/08,82.64
6/2/08,82.33
6/3/08,82.42
6/4/08,82.46
6/5/08,82.73
6/6/08,79.99
6/9/08,80.81
6/10/08,80.1
6/11/08,78.93
6/12/08,80.5
6/13/08,81.5
6/16/08,80.91
6/17/08,80.69
6/18/08,79.7
6/19/08,79.48
6/20/08,79.08
6/23/08,80
6/24/08,76.64
6/25/08,76.58
6/26/08,74.28
6/27/08,73.75
6/30/08,73.82
7/1/08,74.09
7/2/08,70.42
7/3/08,70.31
7/7/08,70.81
7/8/08,69.51
7/9/08,68.43
7/10/08,68.42
7/11/08,69.81
7/14/08,69.67
7/15/08,67.04
7/16/08,70.53
7/17/08,71.83
7/18/08,70.89
7/21/08,73.23
7/22/08,74.98
7/23/08,72.42
7/24/08,69.78
7/25/08,70.48
7/28/08,69.19
7/29/08,70.99
7/30/08,72.07
7/31/08,69.52
8/1/08,68.14
8/4/08,67.43
8/5/08,68.18
8/6/08,70.51
8/7/08,68.93
8/8/08,70.9
8/11/08,70.8
8/12/08,71.81
8/13/08,69.83
8/14/08,70.29
8/15/08,70.35
8/18/08,69.22
8/19/08,68.69
8/20/08,68.8
8/21/08,68.7
8/22/08,70.27
8/25/08,68.56
8/26/08,68.68
8/27/08,69.56
8/28/08,71.68
8/29/08,70.73
9/2/08,69.08
9/3/08,67.73
9/4/08,63.94
9/5/08,64.07
9/8/08,64.58
9/9/08,61.38
9/10/08,62.82
9/11/08,64.81
9/12/08,65.46
9/15/08,63.21
9/16/08,64.73
9/17/08,63.15
9/18/08,65.32
9/19/08,66.49
9/22/08,64.6
9/23/08,63.54
9/24/08,61.74
9/25/08,61.96
9/26/08,64.13
9/29/08,59.89
9/30/08,59.6
10/1/08,56.95
10/2/08,52.22
10/3/08,51.21
10/6/08,49.2
10/7/08,47.33
10/8/08,47.65
10/9/08,44.8
10/10/08,43.13
10/13/08,49.48
10/14/08,47.49
10/15/08,42.06
10/16/08,42.37
10/17/08,39.32
10/20/08,40.9
10/21/08,38.83
10/22/08,36.52
10/23/08,35.36
10/24/08,33.3
10/27/08,32.78
10/28/08,34.95
10/29/08,36.14
10/30/08,37.37
10/31/08,38.2
11/3/08,39.01
11/4/08,42.25
11/5/08,40.4
11/6/08,37.6
11/7/08,38.45
11/10/08,37.41
11/11/08,36.87
11/12/08,35.08
11/13/08,39.41
11/14/08,36.96
11/17/08,35.7
11/18/08,36.19
11/19/08,33.87
11/20/08,32.84
11/21/08,34.67
11/24/08,36.34
11/25/08,37.27
11/26/08,39.33
11/28/08,40.99
12/1/08,36.58
12/2/08,38
12/3/08,39.65
12/4/08,37.52
12/5/08,38.26
12/8/08,42.42
12/9/08,42.38
12/10/08,43.67
12/11/08,42.2
12/12/08,42.08
12/15/08,42.21
12/16/08,43.8
12/17/08,44.65
12/18/08,42.16
12/19/08,42.69
12/22/08,41.78
12/23/08,41.13
12/24/08,41.91
12/26/08,42.72
12/29/08,42.34
12/30/08,43.66
12/31/08,44.67
1/2/09,46.91
1/5/09,46.08
1/6/09,45.8
1/7/09,43.67
1/8/09,44.02
1/9/09,43.2
1/12/09,41.19
1/13/09,41.4
1/14/09,39.35
1/15/09,39.39
1/16/09,39.55
1/20/09,38.32
1/21/09,39.55
1/22/09,37.23
1/23/09,35.66
1/26/09,32.67
1/27/09,32.32
1/28/09,33
1/29/09,31.85
1/30/09,30.85
2/2/09,30.29
2/3/09,29.99
2/4/09,30.6
2/5/09,31.61
2/6/09,33.28
2/9/09,32.72
2/10/09,30.92
2/11/09,31.13
2/12/09,31.02
2/13/09,30.94
2/17/09,28.98
2/18/09,28.44
2/19/09,27.02
2/20/09,26.66
2/23/09,25.12
2/24/09,26.04
2/25/09,25.03
2/26/09,24.23
2/27/09,24.61
3/2/09,22.17
3/3/09,22.47
3/4/09,25.44
3/5/09,23.49
3/6/09,23.23
3/9/09,23.92
3/10/09,26.51
3/11/09,26.31
3/12/09,27.02
3/13/09,26.78
3/16/09,26.42
3/17/09,26.83
3/18/09,27.47
3/19/09,28.41
3/20/09,27.07
3/23/09,29.63
3/24/09,29.4
3/25/09,28.91
3/26/09,30.78
3/27/09,30.35
3/30/09,27.53
3/31/09,27.96
4/1/09,28.99
4/2/09,31.54
4/3/09,32.15
4/6/09,31.31
4/7/09,29.45
4/8/09,29.57
4/9/09,32.52
4/13/09,33.16
4/14/09,32.7
4/15/09,33.02
4/16/09,32.71
4/17/09,32.29
4/20/09,30.48
4/21/09,31.39
4/22/09,32.45
4/23/09,32.45
4/24/09,33.63
4/27/09,33.39
4/28/09,32.78
4/29/09,33.69
4/30/09,35.58
5/1/09,37.26
5/4/09,38.48
5/5/09,39.41
5/6/09,40
5/7/09,37.92
5/8/09,39.64
5/11/09,38.43
5/12/09,38.06
5/13/09,36.08
5/14/09,36.07
5/15/09,35.74
5/18/09,37.78
5/19/09,37.67
5/20/09,37.3
5/21/09,35.54
5/22/09,34.31
5/26/09,35
5/27/09,35.05
5/28/09,34.59
5/29/09,35.46
6/1/09,37.55
6/2/09,37.45
6/3/09,36.66
6/4/09,38.02
6/5/09,38.47
6/8/09,38.57
6/9/09,38.24
6/10/09,37.62
6/11/09,37.61
6/12/09,37.73
6/15/09,36.12
6/16/09,35.56
6/17/09,34.8
6/18/09,34.08
6/19/09,33.65
6/22/09,32.36
6/23/09,33
6/24/09,33.4
6/25/09,34.49
6/26/09,34.56
6/29/09,34.74
6/30/09,33.04
7/1/09,33.19
7/2/09,31.74
7/6/09,31.7
7/7/09,30.29
7/8/09,30.58
7/9/09,30.65
7/10/09,30.53
7/13/09,31.8
7/14/09,31.93
7/15/09,33.84
7/16/09,34.15
7/17/09,33.99
7/20/09,36.65
7/21/09,39.46
7/22/09,38.66
7/23/09,41.26
7/24/09,42
7/27/09,42.86
7/28/09,42.9
7/29/09,41.83
7/30/09,43.41
7/31/09,44.06
8/3/09,45.12
8/4/09,47.89
8/5/09,46.64
8/6/09,47.14
8/7/09,47.78
8/10/09,47.15
8/11/09,46.28
8/12/09,47.58
8/13/09,47.17
8/14/09,46
8/17/09,43.95
8/18/09,45.11
8/19/09,45.17
8/20/09,45.5
8/21/09,47.3
8/24/09,47.56
8/25/09,47.83
8/26/09,47.25
8/27/09,47.08
8/28/09,46.71
8/31/09,45.31
9/1/09,43.84
9/2/09,43.51
9/3/09,45.04
9/4/09,46.11
9/8/09,46.97
9/9/09,48.41
9/10/09,48.69
