Date,PX_CLOSE_1D
2/21/08,41.71
2/22/08,42.27
2/25/08,42.61
2/26/08,42.75
2/27/08,41.92
2/28/08,41.49
2/29/08,39.94
3/3/08,40.22
3/4/08,40.26
3/5/08,40.59
3/6/08,39.39
3/7/08,39.1
3/10/08,39.05
3/11/08,40.25
3/12/08,40.1
3/13/08,39.67
3/14/08,39.57
3/17/08,40.21
3/18/08,41.23
3/19/08,40.13
3/20/08,40.75
3/24/08,40.69
3/25/08,40.5
3/26/08,40.65
3/27/08,40.79
3/28/08,40.5
3/31/08,40.84
4/1/08,42.49
4/2/08,42.75
4/3/08,42.32
4/4/08,43.21
4/7/08,43.4
4/8/08,43.5
4/9/08,43.5
4/10/08,43.37
4/11/08,42.95
4/14/08,43.03
4/15/08,43.43
4/16/08,44.22
4/17/08,43.84
4/18/08,44.19
4/21/08,43.8
4/22/08,43.42
4/23/08,43.59
4/24/08,43.39
4/25/08,43.54
4/28/08,43.42
4/29/08,43.44
4/30/08,43.39
5/1/08,44.24
5/2/08,45.59
5/5/08,44.81
5/6/08,44.8
5/7/08,44.52
5/8/08,45.01
5/9/08,44.99
5/12/08,45.3
5/13/08,44.93
5/14/08,45.69
5/15/08,45.66
5/16/08,45.97
5/19/08,46.12
5/20/08,46.37
5/21/08,46.49
5/22/08,46.73
5/23/08,45.44
5/27/08,45.5
5/28/08,45.62
5/29/08,45.88
5/30/08,46.3
6/2/08,45.87
6/3/08,46.49
6/4/08,46.96
6/5/08,47.38
6/6/08,45.92
6/9/08,46.8
6/10/08,47.05
6/11/08,46.26
6/12/08,45.81
6/13/08,46.13
6/16/08,46.49
6/17/08,46.54
6/18/08,46.61
6/19/08,47.52
6/20/08,47.08
6/23/08,47.51
6/24/08,47.58
6/25/08,47.84
6/26/08,46.95
6/27/08,46.2
6/30/08,47.49
7/1/08,47.68
7/2/08,47.49
7/3/08,46.98
7/7/08,46.85
7/8/08,46.59
7/9/08,46.94
7/10/08,47.13
7/11/08,46.87
7/14/08,45.99
7/15/08,45.72
7/16/08,44.54
7/17/08,44.21
7/18/08,44.47
7/21/08,44.79
7/22/08,44.58
7/23/08,43.67
7/24/08,43.78
7/25/08,43.31
7/28/08,43.73
7/29/08,43.42
7/30/08,44.44
7/31/08,44.18
8/1/08,42.59
8/4/08,42.33
8/5/08,42.48
8/6/08,42.17
8/7/08,41.94
8/8/08,42.77
8/11/08,43.28
8/12/08,42.69
8/13/08,42.99
8/14/08,42.3
8/15/08,42.55
8/18/08,42.49
8/19/08,42.76
8/20/08,43.11
8/21/08,43.6
8/22/08,43.58
8/25/08,43.28
8/26/08,44.07
8/27/08,43.83
8/28/08,44.37
8/29/08,43.53
9/2/08,43.1
9/3/08,42.45
9/4/08,41.6
9/5/08,40.94
9/8/08,42.58
9/9/08,41.39
9/10/08,42.3
9/11/08,42.13
9/12/08,43.11
9/15/08,41.72
9/16/08,42.76
9/17/08,40.99
9/18/08,41.73
9/19/08,44.17
9/22/08,43.5
9/23/08,42.72
9/24/08,42.33
9/25/08,43.75
9/26/08,43.4
9/29/08,41.99
9/30/08,42.78
10/1/08,43.64
10/2/08,42.09
10/3/08,41.88
10/6/08,40.08
10/7/08,38.32
10/8/08,37.55
10/9/08,35.05
10/10/08,33.67
10/13/08,37.21
10/14/08,37.11
10/15/08,34.31
10/16/08,36.07
10/17/08,35.95
10/20/08,37.96
10/21/08,36.03
10/22/08,33.86
10/23/08,35.7
10/24/08,35.14
10/27/08,33.98
10/28/08,37.12
10/29/08,35.21
10/30/08,36.27
10/31/08,36.28
11/3/08,36.46
11/4/08,36.67
11/5/08,35.23
11/6/08,34.3
11/7/08,35.83
11/10/08,35.19
11/11/08,35.02
11/12/08,34.32
11/13/08,36.29
11/14/08,36.39
11/17/08,35.98
11/18/08,36.08
11/19/08,34.95
11/20/08,33.58
11/21/08,36.93
11/24/08,37.25
11/25/08,37.1
11/26/08,36.35
11/28/08,36.82
12/1/08,34.84
12/2/08,35.59
12/3/08,36.02
12/4/08,34.67
12/5/08,35.23
12/8/08,35.53
12/9/08,34.99
12/10/08,34.66
12/11/08,34.57
12/12/08,34.6
12/15/08,34.38
12/16/08,34.66
12/17/08,34.34
12/18/08,34.78
12/19/08,34.98
12/22/08,34.69
12/23/08,34.41
12/24/08,34.68
12/26/08,34.9
12/29/08,34.83
12/30/08,35.23
12/31/08,35.84
1/2/09,36.54
1/5/09,36.4
1/6/09,36.22
1/7/09,35.68
1/8/09,35.47
1/9/09,35.11
1/12/09,35.14
1/13/09,34.37
1/14/09,33.88
1/15/09,33.93
1/16/09,34.6
1/20/09,34.39
1/21/09,34.89
1/22/09,34.93
1/23/09,35
1/26/09,35.75
1/27/09,35.47
1/28/09,35.69
1/29/09,36.21
1/30/09,35.18
2/2/09,36.26
2/3/09,36.57
2/4/09,36.56
2/5/09,36.78
2/6/09,36.93
2/9/09,36.19
2/10/09,35.5
2/11/09,35.12
2/12/09,34.93
2/13/09,34.54
2/17/09,33.62
2/18/09,32.57
2/19/09,32.54
2/20/09,31.69
2/23/09,30.81
2/24/09,31.65
2/25/09,30.77
2/26/09,30.08
2/27/09,30.18
3/2/09,28.68
3/3/09,27.76
3/4/09,28.4
3/5/09,27.89
3/6/09,28.12
3/9/09,27.29
3/10/09,28.01
3/11/09,28.15
3/12/09,28.68
3/13/09,29.53
3/16/09,30.21
3/17/09,30.54
3/18/09,31.07
3/19/09,31.2
3/20/09,30.99
3/23/09,32.37
3/24/09,31.34
3/25/09,31.39
3/26/09,31.55
3/27/09,31.07
3/30/09,30.51
3/31/09,30.99
4/1/09,30.77
4/2/09,30.79
4/3/09,30.44
4/6/09,30.21
4/7/09,30.45
4/8/09,30.54
4/9/09,30.48
4/13/09,30.16
4/14/09,29.97
4/15/09,30.37
4/16/09,30.06
4/17/09,29.94
4/20/09,29.58
4/21/09,29.38
4/22/09,29.01
4/23/09,29.28
4/24/09,29.29
4/27/09,29.57
4/28/09,29.9
4/29/09,29.61
4/30/09,30.16
5/1/09,31.09
5/4/09,31.61
5/5/09,31.66
5/6/09,31.52
5/7/09,31.87
5/8/09,31.87
5/11/09,31.78
5/12/09,31.99
5/13/09,31.3
5/14/09,31.04
5/15/09,30.52
5/18/09,30.5
5/19/09,31.41
5/20/09,31.13
5/21/09,30.72
5/22/09,30.81
5/26/09,31.55
5/27/09,30.33
5/28/09,31.18
5/29/09,31.79
6/1/09,32.9
6/2/09,32.61
6/3/09,31.95
6/4/09,32.07
6/5/09,32.02
6/8/09,31.76
6/9/09,31.87
6/10/09,32.24
6/11/09,32.95
6/12/09,33.39
6/15/09,32.64
6/16/09,32.53
6/17/09,32.39
6/18/09,33.34
6/19/09,32.72
6/22/09,33.01
6/23/09,32.55
6/24/09,32.79
6/25/09,33.35
6/26/09,33.39
6/29/09,33.87
6/30/09,33.42
7/1/09,34.23
7/2/09,33.19
7/6/09,33.49
7/7/09,32.73
7/8/09,32.6
7/9/09,32.81
7/10/09,32.45
7/13/09,33.02
7/14/09,33.1
7/15/09,33.18
7/16/09,33.17
7/17/09,32.87
7/20/09,32.85
7/21/09,33.03
7/22/09,33.12
7/23/09,33.9
7/24/09,34.59
7/27/09,34.8
7/28/09,34.14
7/29/09,34.14
7/30/09,34.54
7/31/09,33.8
8/3/09,33.91
8/4/09,33.77
8/5/09,33.67
8/6/09,33.83
8/7/09,33.6
8/10/09,33.6
8/11/09,33.49
8/12/09,33.68
8/13/09,33.62
8/14/09,33.56
8/17/09,33.13
8/18/09,33.19
8/19/09,33.43
8/20/09,33.67
8/21/09,34.22
8/24/09,34.44
8/25/09,34.31
8/26/09,33.49
8/27/09,33.45
8/28/09,33.22
8/31/09,33.08
9/1/09,33.01
9/2/09,32.74
9/3/09,32.74
9/4/09,33
9/8/09,33.02
9/9/09,33.08
9/10/09,32.82
9/11/09,32.79
9/14/09,33.19
9/15/09,33.46
9/16/09,34.13
9/17/09,34.02
9/18/09,34.33
9/21/09,34.19
9/22/09,34.08
9/23/09,34.05
9/24/09,34.25
9/25/09,34.19
9/28/09,34.6
9/29/09,34.73
9/30/09,34.5
10/1/09,33.8
10/2/09,33.49
10/5/09,33.7
10/6/09,33.86
10/7/09,34.09
10/8/09,34.23
10/9/09,34.7
10/12/09,34.86
10/13/09,34.52
10/14/09,34.72
10/15/09,34.34
10/16/09,34.52
10/19/09,35.11
10/20/09,34.97
10/21/09,35.07
10/22/09,35.49
10/23/09,35.17
10/26/09,34.81
10/27/09,34.71
10/28/09,34.61
10/29/09,34.63
10/30/09,34.09
11/2/09,34.6
11/3/09,34.73
11/4/09,35.1
11/5/09,35.81
11/6/09,35.97
11/9/09,36.61
11/10/09,36.77
11/11/09,36.66
11/12/09,36.26
11/13/09,36.26
11/16/09,37.1
11/17/09,37.25
11/18/09,37.04
11/19/09,36.81
11/20/09,36.37
11/23/09,36.76
11/24/09,36.97
11/25/09,36.78
11/27/09,36.14
11/30/09,36.38
12/1/09,37.18
12/2/09,37.88
12/3/09,37.86
12/4/09,37.75
12/7/09,38.22
12/8/09,38.15
12/9/09,38.29
12/10/09,38.6
12/11/09,39.08
12/14/09,39.53
12/15/09,39.25
12/16/09,39.19
12/17/09,38.96
12/18/09,39.13
12/21/09,39.24
12/22/09,39.12
12/23/09,39.14
12/24/09,39.37
12/28/09,39.61
12/29/09,39.4
12/30/09,39.5
12/31/09,38.92
1/4/10,38.96
1/5/10,38.48
1/6/10,38.52
1/7/10,38.58
1/8/10,38.56
1/11/10,39.13
1/12/10,38.93
1/13/10,39.15
1/14/10,39.11
1/15/10,38.85
1/19/10,39.43
1/20/10,39.04
1/21/10,38.53
1/22/10,37.8
1/25/10,38.07
1/26/10,38.1
1/27/10,38
1/28/10,37.6
1/29/10,37.46
2/1/10,37.75
2/2/10,37.99
2/3/10,37.64
2/4/10,36.86
2/5/10,36.75
2/8/10,36.27
2/9/10,36.57
2/10/10,36.6
2/11/10,37.07
2/12/10,37.14
2/16/10,38.24
