Date,PX_CLOSE_1D
2/21/08,38.38
2/22/08,38.75
2/25/08,39
2/26/08,39
2/27/08,39.17
2/28/08,38.7
2/29/08,37.69
3/3/08,37.94
3/4/08,37.68
3/5/08,37.71
3/6/08,37.04
3/7/08,36.18
3/10/08,35.24
3/11/08,37.09
3/12/08,37.27
3/13/08,37.43
3/14/08,36.9999
3/17/08,36.42
3/18/08,38.03
3/19/08,36.41
3/20/08,36.48
3/24/08,37.66
3/25/08,37.86
3/26/08,37.81
3/27/08,36.88
3/28/08,36.66
3/31/08,36.85
4/1/08,37.72
4/2/08,38.07
4/3/08,38.43
4/4/08,38.85
4/7/08,38.8
4/8/08,39
4/9/08,38.72
4/10/08,38.6
4/11/08,38.51
4/14/08,37.95
4/15/08,37.99
4/16/08,39.42
4/17/08,39.43
4/18/08,39.98
4/21/08,39.97
4/22/08,39.3
4/23/08,39.22
4/24/08,39.66
4/25/08,40.86
4/28/08,40.16
4/29/08,40.1
4/30/08,40.15
5/1/08,40.4
5/2/08,40.79
5/5/08,40.78
5/6/08,40.91
5/7/08,40.69
5/8/08,41.27
5/9/08,41.23
5/12/08,41.77
5/13/08,41.76
5/14/08,42.43
5/15/08,42.5
5/16/08,42.88
5/19/08,42.54
5/20/08,42.51
5/21/08,41.38
5/22/08,41.62
5/23/08,40.42
5/27/08,40.23
5/28/08,40.83
5/29/08,40.63
5/30/08,40.4
6/2/08,39.84
6/3/08,39.37
6/4/08,39.34
6/5/08,39.95
6/6/08,38.78
6/9/08,39.46
6/10/08,39.19
6/11/08,38.34
6/12/08,38.45
6/13/08,39.05
6/16/08,38.9
6/17/08,38.9
6/18/08,38.23
6/19/08,38.29
6/20/08,37.58
6/23/08,37.62
6/24/08,36.58
6/25/08,36.77
6/26/08,35.1
6/27/08,34.83
6/30/08,34.91
7/1/08,35.17
7/2/08,33.92
7/3/08,34.1
7/7/08,34.21
7/8/08,34.94
7/9/08,33.96
7/10/08,32.52
7/11/08,31.7
7/14/08,31.4
7/15/08,31.86
7/16/08,32.88
7/17/08,33.92
7/18/08,33.95
7/21/08,34
7/22/08,34.51
7/23/08,34.24
7/24/08,33.11
7/25/08,33
7/28/08,32.26
7/29/08,32.88
7/30/08,33.68
7/31/08,33.31
8/1/08,32.73
8/4/08,32.05
8/5/08,33.03
8/6/08,33.1
8/7/08,32.33
8/8/08,33.63
8/11/08,35.52
8/12/08,35.4
8/13/08,35.08
8/14/08,34.89
8/15/08,34.98
8/18/08,34.7
8/19/08,34.18
8/20/08,34.08
8/21/08,34.05
8/22/08,34.12
8/25/08,33.62
8/26/08,33.55
8/27/08,33.63
8/28/08,34.64
8/29/08,34.13
9/2/08,34.35
9/3/08,35.03
9/4/08,33.62
9/5/08,33.84
9/8/08,35.03
9/9/08,34.5
9/10/08,34.83
9/11/08,36.01
9/12/08,36.25
9/15/08,35.14
9/16/08,35.46
9/17/08,34.45
9/18/08,35.82
9/19/08,37.56
9/22/08,35.91
9/23/08,34.26
9/24/08,34.59
9/25/08,35.13
9/26/08,33.97
9/29/08,30.96
9/30/08,31.78
10/1/08,31.73
10/2/08,30.37
10/3/08,29.89
10/6/08,29.32
10/7/08,28.25
10/8/08,27.83
10/9/08,25.79
10/10/08,24.4
10/13/08,26.09
10/14/08,25.96
10/15/08,22.31
10/16/08,24.27
10/17/08,23.96
10/20/08,25.51
10/21/08,23.91
10/22/08,22.11
10/23/08,24.43
10/24/08,23.86
10/27/08,22.81
10/28/08,25.12
10/29/08,25.08
10/30/08,25.96
10/31/08,26.68
11/3/08,26.28
11/4/08,27.09
11/5/08,25.56
11/6/08,24.48
11/7/08,24.23
11/10/08,23.76
11/11/08,22.8
11/12/08,21.24
11/13/08,22.24
11/14/08,21.15
11/17/08,20.66
11/18/08,20.85
11/19/08,19.16
11/20/08,16.62
11/21/08,17.38
11/24/08,18.29
11/25/08,18.23
11/26/08,18.92
11/28/08,18.55
12/1/08,17.93
12/2/08,18.6
12/3/08,18.85
12/4/08,18.32
12/5/08,19
12/8/08,20.37
12/9/08,19.15
12/10/08,19.52
12/11/08,19.5
12/12/08,19.71
12/15/08,19.78
12/16/08,20.8
12/17/08,20.6
12/18/08,20.04
12/19/08,20.08
12/22/08,19.65
12/23/08,19.3
12/24/08,19.11
12/26/08,19.34
12/29/08,15.32
12/30/08,15.55
12/31/08,15.09
1/2/09,15.41
1/5/09,15.05
1/6/09,16.05
1/7/09,16.08
1/8/09,15.81
1/9/09,15.81
1/12/09,15.76
1/13/09,15.55
1/14/09,15.11
1/15/09,15.2
1/16/09,15.03
1/20/09,13.89
1/21/09,14.82
1/22/09,14.38
1/23/09,14.33
1/26/09,13.24
1/27/09,13.19
1/28/09,13.44
1/29/09,12.31
1/30/09,11.59
2/2/09,11.05
2/3/09,11.35
2/4/09,10.77
2/5/09,10.91
2/6/09,10.88
2/9/09,10.65
2/10/09,10.35
2/11/09,10.04
2/12/09,10.04
2/13/09,9.53
2/17/09,8.62
2/18/09,8.6
2/19/09,8.2
2/20/09,8.1
2/23/09,7.41
2/24/09,7.94
2/25/09,7.49
2/26/09,7.45
2/27/09,7.16
3/2/09,6.94
3/3/09,6.93
3/4/09,7.06
3/5/09,6.47
3/6/09,7.11
3/9/09,6.33
3/10/09,6.87
3/11/09,6.43
3/12/09,7
3/13/09,7.56
3/16/09,7.9
3/17/09,8.06
3/18/09,8.22
3/19/09,8.13
3/20/09,7.68
3/23/09,8.63
3/24/09,8.64
3/25/09,8.8
3/26/09,9.37
3/27/09,8.96
3/30/09,8.3
3/31/09,8.43
4/1/09,8.81
4/2/09,9.94
4/3/09,11
4/6/09,10.78
4/7/09,9.97
4/8/09,10.15
4/9/09,10.94
4/13/09,11.24
4/14/09,10.66
4/15/09,11.23
4/16/09,11.91
4/17/09,12.6
4/20/09,11.48
4/21/09,12.18
4/22/09,12.47
4/23/09,12.39
4/24/09,12.99
4/27/09,12.61
4/28/09,13
4/29/09,13.51
4/30/09,16
5/1/09,15.7
5/4/09,16.39
5/5/09,16.33
5/6/09,15.19
5/7/09,15.75
5/8/09,17.5
5/11/09,17.63
5/12/09,17.04
5/13/09,15.58
5/14/09,16.52
5/15/09,16.47
5/18/09,17.65
5/19/09,17.88
5/20/09,17.76
5/21/09,17.07
5/22/09,17.28
5/26/09,16.94
5/27/09,16.92
5/28/09,16.87
5/29/09,17.68
6/1/09,17.1
6/2/09,18.73
6/3/09,17.68
6/4/09,17.97
6/5/09,17.56
6/8/09,16.95
6/9/09,17.87
6/10/09,17.56
6/11/09,17.43
6/12/09,17.34
6/15/09,16.68
6/16/09,16.08
6/17/09,16.13
6/18/09,16.15
6/19/09,16.31
6/22/09,15.17
6/23/09,15.26
6/24/09,15.49
6/25/09,15.88
6/26/09,16.05
6/29/09,16.07
6/30/09,16.14
7/1/09,15.98
7/2/09,15.12
7/6/09,15.23
7/7/09,14.78
7/8/09,14.72
7/9/09,14.76
7/10/09,14.66
7/13/09,15.29
7/14/09,15.38
7/15/09,16.55
7/16/09,16.44
7/17/09,16.99
7/20/09,17.81
7/21/09,18.34
7/22/09,19.03
7/23/09,20.06
7/24/09,20.19
7/27/09,20.13
7/28/09,20.21
7/29/09,20.27
7/30/09,21.53
7/31/09,21.17
8/3/09,22.47
8/4/09,23.03
8/5/09,23.64
8/6/09,23.28
8/7/09,23.05
8/10/09,22.33
8/11/09,22.43
8/12/09,22.43
8/13/09,22.84
8/14/09,22.13
8/17/09,20.91
8/18/09,21.1
8/19/09,21.45
8/20/09,21.48
8/21/09,22.63
8/24/09,22.27
8/25/09,21.56
8/26/09,21.56
8/27/09,21.26
8/28/09,21.89
8/31/09,21.29
9/1/09,20.28
9/2/09,20.05
9/3/09,20.16
9/4/09,21.31
9/8/09,21.89
9/9/09,22.92
9/10/09,23.49
9/11/09,23.59
9/14/09,25.21
9/15/09,25.83
9/16/09,25.96
9/17/09,26.33
9/18/09,26.75
9/21/09,26
9/22/09,26.95
9/23/09,26.27
9/24/09,25.82
9/25/09,25.3
9/28/09,26.39
9/29/09,26.35
9/30/09,26.07
10/1/09,24.43
10/2/09,23.63
10/5/09,24.87
10/6/09,24.96
10/7/09,25.05
10/8/09,25.9
10/9/09,26.15
10/12/09,26.06
10/13/09,25.93
10/14/09,27.07
10/15/09,27
10/16/09,26.39
10/19/09,27.03
10/20/09,26.82
10/21/09,25.5
10/22/09,26.46
10/23/09,25.15
10/26/09,24.89
10/27/09,24.85
10/28/09,24.3
10/29/09,25.25
10/30/09,23.48
11/2/09,23.82
11/3/09,23.87
11/4/09,23.67
11/5/09,24.9
11/6/09,24.8
11/9/09,25.91
11/10/09,25.96
11/11/09,26.71
11/12/09,28.6
11/13/09,28.47
11/16/09,28.87
11/17/09,29.42
11/18/09,28.86
11/19/09,28.08
11/20/09,27.93
11/23/09,27.97
11/24/09,27.98
11/25/09,28.52
11/27/09,27.56
11/30/09,27.78
12/1/09,28.08
12/2/09,28.49
12/3/09,27.64
12/4/09,27.48
12/7/09,28.02
12/8/09,27.54
12/9/09,27.38
12/10/09,26.67
12/11/09,26.65
12/14/09,27.49
12/15/09,26.77
12/16/09,27.28
12/17/09,26.48
12/18/09,26.22
12/21/09,26.75
12/22/09,26.98
12/23/09,27.85
12/24/09,28.01
12/28/09,28.51
12/29/09,28.64
12/30/09,28.29
12/31/09,27.63
1/4/10,29.18
1/5/10,30.48
1/6/10,31.02
1/7/10,31.04
1/8/10,31.15
1/11/10,30.76
1/12/10,30.86
1/13/10,30.75
1/14/10,30.53
1/15/10,29.99
1/19/10,30.68
1/20/10,30.36
1/21/10,28.67
1/22/10,27.76
1/25/10,28.41
1/26/10,28.09
1/27/10,28.24
1/28/10,27.37
1/29/10,27.09
2/1/10,28.63
2/2/10,27.57
2/3/10,27.58
2/4/10,26.61
2/5/10,26.52
2/8/10,26.18
2/9/10,27.79
2/10/10,27.51
2/11/10,27.86
2/12/10,27.79
2/16/10,28.48
2/17/10,28.74
2/18/10,29.54
2/19/10,29.23
2/22/10,29.36
2/23/10,28.88
2/24/10,29
2/25/10,28.32
2/26/10,28.31
3/1/10,28.69
3/2/10,28.88
3/3/10,29.61
3/4/10,29.56
3/5/10,30
3/8/10,29.5
3/9/10,29.22
3/10/10,29.06
3/11/10,29.4
3/12/10,29.84
3/15/10,30
3/16/10,30.44
3/17/10,30.43
3/18/10,30
3/19/10,28.95
3/22/10,29.59
3/23/10,29.97
3/24/10,30.36
3/25/10,29.88
3/26/10,30.06
3/29/10,29.52
3/30/10,29.76
3/31/10,29.57
4/1/10,30.31
4/5/10,30.99
4/6/10,31.16
4/7/10,30.79
4/8/10,30.73
4/9/10,30.78
4/12/10,30.74
4/13/10,30.6
4/14/10,31.2
4/15/10,31.32
4/16/10,30.54
4/19/10,30.77
4/20/10,30.36
4/21/10,30.31
4/22/10,30.28
4/23/10,31.16
4/26/10,31.33
4/27/10,30.07
4/28/10,31.83
4/29/10,31.82
4/30/10,30.83
5/3/10,31.42
5/4/10,29.31
5/5/10,28.41
