Date,PX_CLOSE_1D
2/21/08,49.935
2/22/08,49.68
2/25/08,50.28
2/26/08,50.16
2/27/08,51.81
2/28/08,53.285
2/29/08,50.43
3/3/08,51.725
3/4/08,49.465
3/5/08,52.04
3/6/08,52.17
3/7/08,49.94
3/10/08,46.985
3/11/08,50.735
3/12/08,50.94
3/13/08,51.695
3/14/08,50.805
3/17/08,47.305
3/18/08,49.345
3/19/08,43.8
3/20/08,43.54
3/24/08,44.38
3/25/08,46.205
3/26/08,48.72
3/27/08,48.855
3/28/08,48.3
3/31/08,48.11
4/1/08,48.815
4/2/08,49.865
4/3/08,51.845
4/4/08,53.845
4/7/08,53.51
4/8/08,53.875
4/9/08,54.905
4/10/08,54.825
4/11/08,53.105
4/14/08,52.695
4/15/08,52.75
4/16/08,56.61
4/17/08,56.33
4/18/08,56.945
4/21/08,57.57
4/22/08,59.325
4/23/08,58.04
4/24/08,56.305
4/25/08,58.49
4/28/08,57.9
4/29/08,55.36
4/30/08,56.875
5/1/08,53.98
5/2/08,55.115
5/5/08,57.995
5/6/08,58.66
5/7/08,57.18
5/8/08,59.035
5/9/08,57.11
5/12/08,57.33
5/13/08,58.68
5/14/08,57.605
5/15/08,59.715
5/16/08,62.09
5/19/08,62.415
5/20/08,62.93
5/21/08,60.29
5/22/08,59.545
5/23/08,58.595
5/27/08,58.82
5/28/08,59.845
5/29/08,56.59
5/30/08,57.855
6/2/08,57.79
6/3/08,57.1
6/4/08,55.775
6/5/08,58.53
6/6/08,57.885
6/9/08,59.13
6/10/08,59.705
6/11/08,60.045
6/12/08,58.735
6/13/08,61.65
6/16/08,62.33
6/17/08,61.145
6/18/08,61.09
6/19/08,60.28
6/20/08,58.515
6/23/08,59.275
6/24/08,57.86
6/25/08,58.73
6/26/08,57.83
6/27/08,58.155
6/30/08,58.595
7/1/08,57.775
7/2/08,53.785
7/3/08,54.32
7/7/08,54.795
7/8/08,52.605
7/9/08,51.88
7/10/08,53.095
7/11/08,53.87
7/14/08,54.855
7/15/08,52.485
7/16/08,50.715
7/17/08,49.725
7/18/08,51.62
7/21/08,53.505
7/22/08,50.265
7/23/08,49.37
7/24/08,47.29
7/25/08,48.13
7/28/08,47.79
7/29/08,47.815
7/30/08,50.695
7/31/08,48.375
8/1/08,45.655
8/4/08,40.175
8/5/08,39.5
8/6/08,43.835
8/7/08,43.63
8/8/08,42.76
8/11/08,41.15
8/12/08,41.835
8/13/08,44.25
8/14/08,43.42
8/15/08,42.195
8/18/08,41.67
8/19/08,42.35
8/20/08,45.545
8/21/08,46.83
8/22/08,45.3
8/25/08,43.905
8/26/08,44.265
8/27/08,45.545
8/28/08,45.315
8/29/08,44.66
9/2/08,41.525
9/3/08,40.18
9/4/08,37.465
9/5/08,36.955
9/8/08,36.03
9/9/08,32.58
9/10/08,34.59
9/11/08,34.13
9/12/08,36.94
9/15/08,32.92
9/16/08,33.125
9/17/08,32.705
9/18/08,33.49
9/19/08,36.76
9/22/08,36.165
9/23/08,34.755
9/24/08,33.25
9/25/08,34.2
9/26/08,31.91
9/29/08,26.61
9/30/08,28.425
10/1/08,26.48
10/2/08,22.8
10/3/08,22.43
10/6/08,21.855
10/7/08,19.345
10/8/08,21.3
10/9/08,19.205
10/10/08,18.175
10/13/08,22.685
10/14/08,20.47
10/15/08,16.555
10/16/08,16.695
10/17/08,16.465
10/20/08,18.36
10/21/08,16.37
10/22/08,13.46
10/23/08,13.14
10/24/08,12.43
10/27/08,11.875
10/28/08,13.37
10/29/08,14.12
10/30/08,15.01
10/31/08,14.53
11/3/08,14.42
11/4/08,16.47
11/5/08,15.03
11/6/08,13.44
11/7/08,13.535
11/10/08,13.73
11/11/08,12.39
11/12/08,11.145
11/13/08,13.005
11/14/08,12.17
11/17/08,11.57
11/18/08,10.84
11/19/08,10.12
11/20/08,8.8
11/21/08,9.665
11/24/08,10.96
11/25/08,11.53
11/26/08,12.665
11/28/08,11.995
12/1/08,10.455
12/2/08,10.91
12/3/08,9.025
12/4/08,8.755
12/5/08,8.4
12/8/08,10.005
12/9/08,9.87
12/10/08,11.445
12/11/08,11.415
12/12/08,11.14
12/15/08,11.255
12/16/08,12.445
12/17/08,13.005
12/18/08,11.66
12/19/08,11.665
12/22/08,10.66
12/23/08,10.865
12/24/08,10.785
12/26/08,11.29
12/29/08,11.57
12/30/08,11.865
12/31/08,12.22
1/2/09,13.37
1/5/09,14.11
1/6/09,15.405
1/7/09,13.995
1/8/09,14.625
1/9/09,14.375
1/12/09,12.72
1/13/09,12.9
1/14/09,11.515
1/15/09,11.845
1/16/09,12.2
1/20/09,11.07
1/21/09,11.75
1/22/09,11.28
1/23/09,11.405
1/26/09,12.47
1/27/09,12.815
1/28/09,14.035
1/29/09,13.34
1/30/09,12.57
2/2/09,12.295
2/3/09,12.585
2/4/09,13.64
2/5/09,14.175
2/6/09,14.905
2/9/09,14.66
2/10/09,13.645
2/11/09,13.96
2/12/09,14.7
2/13/09,15.255
2/17/09,13.56
2/18/09,14.22
2/19/09,14.135
2/20/09,14.39
2/23/09,13.17
2/24/09,13.995
2/25/09,14.66
2/26/09,15.045
2/27/09,15.21
3/2/09,13.245
3/3/09,14.205
3/4/09,16.105
3/5/09,15.825
3/6/09,16.94
3/9/09,16.16
3/10/09,17.085
3/11/09,17.78
3/12/09,18.38
3/13/09,18.52
3/16/09,18.63
3/17/09,18.465
3/18/09,18.935
3/19/09,20.02
3/20/09,19.5
3/23/09,20.935
3/24/09,20.435
3/25/09,20.33
3/26/09,21.525
3/27/09,21.06
3/30/09,19.265
3/31/09,19.055
4/1/09,19.855
4/2/09,20.785
4/3/09,21.335
4/6/09,20.875
4/7/09,20.68
4/8/09,20.31
4/9/09,22.05
4/13/09,22.795
4/14/09,22.13
4/15/09,22.4
4/16/09,21.87
4/17/09,21.7
4/20/09,19.555
4/21/09,20.365
4/22/09,20.225
4/23/09,19.58
4/24/09,20.465
4/27/09,19.84
4/28/09,19.135
4/29/09,20.48
4/30/09,21.325
5/1/09,22.24
5/4/09,24.32
5/5/09,25.005
5/6/09,25.925
5/7/09,24.52
5/8/09,25.9
5/11/09,25.49
5/12/09,24.555
5/13/09,23.005
5/14/09,23.055
5/15/09,22.585
5/18/09,24.335
5/19/09,24.76
5/20/09,25
5/21/09,24.325
5/22/09,24.17
5/26/09,24.995
5/27/09,24.875
5/28/09,26.1
5/29/09,27.215
6/1/09,29.06
6/2/09,28.44
6/3/09,26.83
6/4/09,28.165
6/5/09,28.58
6/8/09,28.24
6/9/09,29.48
6/10/09,29.945
6/11/09,30.21
6/12/09,29.255
6/15/09,27.57
6/16/09,26.195
6/17/09,25.24
6/18/09,25.25
6/19/09,25.465
6/22/09,22.59
6/23/09,23.59
6/24/09,24.4
6/25/09,25.375
6/26/09,25.275
6/29/09,25.165
6/30/09,25.055
7/1/09,25.285
7/2/09,24.86
7/6/09,22.97
7/7/09,22.5
7/8/09,22.55
7/9/09,23.345
7/10/09,23.32
7/13/09,23.955
7/14/09,24.09
7/15/09,25.455
7/16/09,26.91
7/17/09,27.75
7/20/09,28.5
7/21/09,29.085
7/22/09,29.39
7/23/09,29.875
7/24/09,29.91
7/27/09,29.975
7/28/09,29.285
7/29/09,27.755
7/30/09,29.205
7/31/09,30.15
8/3/09,32.57
