Date,PX_CLOSE_1D
2/21/08,33.69
2/22/08,33.55
2/25/08,34.21
2/26/08,33.94
2/27/08,34.02
2/28/08,33.85
2/29/08,33.14
3/3/08,33.4
3/4/08,33.52
3/5/08,33.67
3/6/08,32.86
3/7/08,32.23
3/10/08,31.7
3/11/08,33.4
3/12/08,33.96
3/13/08,34.25
3/14/08,33.82
3/17/08,34.33
3/18/08,36.14
3/19/08,35.59
3/20/08,37.49
3/24/08,37.4
3/25/08,37.27
3/26/08,37.13
3/27/08,36.83
3/28/08,36.61
3/31/08,37.01
4/1/08,38.43
4/2/08,38.02
4/3/08,37.84
4/4/08,37.56
4/7/08,37.26
4/8/08,36.95
4/9/08,36.44
4/10/08,36.75
4/11/08,32.05
4/14/08,31.75
4/15/08,31.98
4/16/08,32.23
4/17/08,32.02
4/18/08,32.69
4/21/08,32.46
4/22/08,32.33
4/23/08,32.36
4/24/08,32.81
4/25/08,33.33
4/28/08,33.17
4/29/08,32.82
4/30/08,32.7
5/1/08,33.12
5/2/08,33.34
5/5/08,33.18
5/6/08,33
5/7/08,32.57
5/8/08,32.59
5/9/08,32.27
5/12/08,32.4
5/13/08,32.33
5/14/08,32.51
5/15/08,32.37
5/16/08,32.13
5/19/08,32.4
5/20/08,31.72
5/21/08,30.99
5/22/08,31.01
5/23/08,30.43
5/27/08,30.4
5/28/08,30.55
5/29/08,30.64
5/30/08,30.72
6/2/08,30.41
6/3/08,30.46
6/4/08,30.45
6/5/08,31.06
6/6/08,30.02
6/9/08,30.06
6/10/08,30.33
6/11/08,29.83
6/12/08,29.05
6/13/08,29.15
6/16/08,28.97
6/17/08,28.86
6/18/08,28.21
6/19/08,27.91
6/20/08,27.38
6/23/08,27.4
6/24/08,27.59
6/25/08,27.99
6/26/08,26.53
6/27/08,26.26
6/30/08,26.69
7/1/08,27.12
7/2/08,26.51
7/3/08,26.91
7/7/08,27.1
7/8/08,28.06
7/9/08,27.19
7/10/08,27.64
7/11/08,27.66
7/14/08,27.18
7/15/08,26.65
7/16/08,27.68
7/17/08,28
7/18/08,28
7/21/08,27.69
7/22/08,28.5
7/23/08,29.33
7/24/08,28.71
7/25/08,28.71
7/28/08,27.69
7/29/08,28.4
7/30/08,28.97
7/31/08,28.29
8/1/08,28.21
8/4/08,28.17
8/5/08,29.25
8/6/08,29
8/7/08,28.57
8/8/08,29.64
8/11/08,29.95
8/12/08,29.74
8/13/08,29.31
8/14/08,29.52
8/15/08,29.8
8/18/08,29.35
8/19/08,28.71
8/20/08,28.65
8/21/08,28.75
8/22/08,29.12
8/25/08,28.32
8/26/08,28.27
8/27/08,28.22
8/28/08,28.83
8/29/08,28.1
9/2/08,28.53
9/3/08,28.57
9/4/08,27.7
9/5/08,27.88
9/8/08,29.09
9/9/08,28.12
9/10/08,28.09
9/11/08,28.16
9/12/08,26.75
9/15/08,24.6
9/16/08,25.06
9/17/08,23.39
9/18/08,24.79
9/19/08,26.62
9/22/08,26.15
9/23/08,24.95
9/24/08,24.59
9/25/08,25.68
9/26/08,25.25
9/29/08,23.1
9/30/08,25.5
10/1/08,24.5
10/2/08,22.15
10/3/08,21.57
10/6/08,21.38
10/7/08,20.3
10/8/08,20.65
10/9/08,19.01
10/10/08,21.5
10/13/08,21
10/14/08,20.85
10/15/08,19.25
10/16/08,19.89
10/17/08,19.63
10/20/08,20.14
10/21/08,20.35
10/22/08,18.96
10/23/08,18.8
10/24/08,17.83
10/27/08,17.73
10/28/08,19.49
10/29/08,19.2
10/30/08,19.35
10/31/08,19.51
11/3/08,19.3
11/4/08,20.77
11/5/08,19.93
11/6/08,18.34
11/7/08,18.86
11/10/08,18.45
11/11/08,17.81
11/12/08,16.29
11/13/08,16.86
11/14/08,16.02
11/17/08,16.11
11/18/08,16.06
11/19/08,14.45
11/20/08,12.84
11/21/08,14.03
11/24/08,15.26
11/25/08,15.77
11/26/08,16.19
11/28/08,17.17
12/1/08,15.5
12/2/08,17.61
12/3/08,18.13
12/4/08,17.55
12/5/08,17.85
12/8/08,18.88
12/9/08,17.78
12/10/08,18
12/11/08,17.05
12/12/08,17.11
