Date,PX_CLOSE_1D
2/21/08,62.98
2/22/08,63.18
2/25/08,63.85
2/26/08,63.72
2/27/08,63.04
2/28/08,62.71
2/29/08,61.96
3/3/08,62.23
3/4/08,62.64
3/5/08,63.13
3/6/08,62.63
3/7/08,61.51
3/10/08,61.33
3/11/08,62.44
3/12/08,62.55
3/13/08,62.81
3/14/08,62.65
3/17/08,64.04
3/18/08,65.31
3/19/08,64.88
3/20/08,65.38
3/24/08,64.89
3/25/08,64.55
3/26/08,64.7
3/27/08,64.62
3/28/08,64.18
3/31/08,64.87
4/1/08,65.87
4/2/08,65.31
4/3/08,65.27
4/4/08,65.73
4/7/08,66.14
4/8/08,66.32
4/9/08,66.29
4/10/08,66.33
4/11/08,66
4/14/08,65.74
4/15/08,65.65
4/16/08,65.7
4/17/08,65.76
4/18/08,66.51
4/21/08,66.32
4/22/08,66.99
4/23/08,67.26
4/24/08,67.37
4/25/08,67.31
4/28/08,67.32
4/29/08,67.19
4/30/08,67.09
5/1/08,67.81
5/2/08,68.26
5/5/08,67.9
5/6/08,67.58
5/7/08,66.91
5/8/08,66.9
5/9/08,66.55
5/12/08,66.71
5/13/08,66.41
5/14/08,66.81
5/15/08,66.68
5/16/08,66.68
5/19/08,66.63
5/20/08,66.15
5/21/08,65.73
5/22/08,65.41
5/23/08,64.92
5/27/08,65.15
5/28/08,64.88
5/29/08,66.42
5/30/08,66.74
6/2/08,66.51
6/3/08,66.76
6/4/08,66.55
6/5/08,66.96
6/6/08,65.76
6/9/08,65.63
6/10/08,65.62
6/11/08,65.2
6/12/08,65.69
6/13/08,66.27
6/16/08,65.84
6/17/08,65.59
6/18/08,64.44
6/19/08,64.62
6/20/08,64.06
6/23/08,64.29
6/24/08,64.72
6/25/08,65.28
6/26/08,64.26
6/27/08,63.57
6/30/08,64.34
7/1/08,64.69
7/2/08,64.64
7/3/08,65.12
7/7/08,65.25
7/8/08,66.21
7/9/08,66.18
7/10/08,66.94
7/11/08,66.26
7/14/08,66.41
7/15/08,67.7
7/16/08,68.19
7/17/08,67.83
7/18/08,67.82
7/21/08,67.11
7/22/08,67.99
7/23/08,68.27
7/24/08,68.66
7/25/08,69.03
7/28/08,68.48
7/29/08,68.48
7/30/08,68.08
7/31/08,68.47
8/1/08,68.1
8/4/08,68.98
8/5/08,70.45
8/6/08,71.07
8/7/08,70.65
8/8/08,71.55
8/11/08,71.66
8/12/08,71.7
8/13/08,71.2
8/14/08,71.19
8/15/08,71.33
8/18/08,71.09
8/19/08,71.15
8/20/08,71.08
8/21/08,71.28
8/22/08,71.42
8/25/08,70.8
8/26/08,70.71
8/27/08,71.21
8/28/08,71.41
8/29/08,70.43
9/2/08,71.73
9/3/08,71.51
9/4/08,70.45
9/5/08,70.67
9/8/08,72.22
9/9/08,71.34
9/10/08,71.23
9/11/08,71.16
9/12/08,70.59
9/15/08,69.61
9/16/08,69.8
9/17/08,69.51
9/18/08,70.93
9/19/08,69.99
9/22/08,68.41
9/23/08,68.15
9/24/08,68.19
9/25/08,69.36
9/26/08,69.4
9/29/08,66.9
9/30/08,69.28
10/1/08,67.79
10/2/08,67.79
10/3/08,66.16
10/6/08,64.5
10/7/08,62.49
10/8/08,62.36
10/9/08,57.58
10/10/08,55.85
10/13/08,62.68
10/14/08,64
10/15/08,60.54
10/16/08,63.5
10/17/08,62.65
10/20/08,64.44
10/21/08,63.66
10/22/08,61.42
10/23/08,62.45
10/24/08,60.79
10/27/08,60.15
10/28/08,64.19
10/29/08,61.53
10/30/08,60.57
10/31/08,61.34
11/3/08,61.16
11/4/08,61.89
11/5/08,59.85
11/6/08,57.92
11/7/08,60.22
11/10/08,60.01
11/11/08,59.55
11/12/08,57.92
11/13/08,62.9
11/14/08,60.05
11/17/08,59.27
11/18/08,60.89
11/19/08,58.12
11/20/08,55.81
11/21/08,58.35
11/24/08,59.11
11/25/08,58.7
11/26/08,58.27
11/28/08,58.58
12/1/08,55.33
12/2/08,56.83
12/3/08,57.32
12/4/08,56.18
12/5/08,58.23
12/8/08,58.77
12/9/08,57.81
12/10/08,57.8
12/11/08,58.25
12/12/08,57.25
12/15/08,57.81
12/16/08,59.6
12/17/08,58.78
12/18/08,58.99
12/19/08,58.84
12/22/08,58.93
12/23/08,58.68
12/24/08,58.56
12/26/08,58.56
12/29/08,58.15
12/30/08,59.17
12/31/08,59.83
1/2/09,60.65
1/5/09,60.05
1/6/09,59.69
1/7/09,59.13
1/8/09,59.02
1/9/09,59.05
1/12/09,58.34
1/13/09,58.84
1/14/09,57.95
1/15/09,57.62
1/16/09,57.44
1/20/09,56.75
1/21/09,56.36
1/22/09,56.87
1/23/09,55.97
1/26/09,56.55
1/27/09,57.54
1/28/09,58.56
1/29/09,58.28
1/30/09,57.69
2/2/09,57.69
2/3/09,58.58
2/4/09,57.96
2/5/09,58.11
2/6/09,58.51
2/9/09,58.5
2/10/09,56.73
2/11/09,57.33
2/12/09,57.78
2/13/09,57.1
2/17/09,55.98
2/18/09,55.83
2/19/09,55.93
2/20/09,54.65
2/23/09,53.65
2/24/09,54.54
2/25/09,53.96
2/26/09,52.44
2/27/09,50
3/2/09,47.92
3/3/09,47.64
3/4/09,49.1
3/5/09,47.67
3/6/09,47.97
3/9/09,46.6
3/10/09,47.78
3/11/09,47.9
3/12/09,49
3/13/09,50.64
3/16/09,50.73
3/17/09,50.72
3/18/09,50.66
3/19/09,50.06
3/20/09,51.67
3/23/09,53.23
3/24/09,52.7
3/25/09,52.86
3/26/09,52.9
3/27/09,52.83
3/30/09,53.01
3/31/09,52.6
4/1/09,53.04
4/2/09,52.97
4/3/09,52.15
