Date,PX_CLOSE_1D
2/21/08,51
2/22/08,51.04
2/25/08,51.24
2/26/08,51.7
2/27/08,51.7
2/28/08,51.5
2/29/08,50.72
3/3/08,50.71
3/4/08,50.42
3/5/08,50.56
3/6/08,49.84
3/7/08,49.45
3/10/08,49.76
3/11/08,50.85
3/12/08,51.06
3/13/08,50.31
3/14/08,49.89
3/17/08,49.76
3/18/08,51.14
3/19/08,51.22
3/20/08,51.62
3/24/08,51.45
3/25/08,51.88
3/26/08,51.67
3/27/08,51.92
3/28/08,52.48
3/31/08,52.56
4/1/08,54.1
4/2/08,53.08
4/3/08,53
4/4/08,53.15
4/7/08,53.06
4/8/08,52.97
4/9/08,52.83
4/10/08,52.58
4/11/08,51.95
4/14/08,52.32
4/15/08,53.12
4/16/08,53.22
4/17/08,52.94
4/18/08,52.66
4/21/08,51.96
4/22/08,51.44
4/23/08,51.96
4/24/08,51.81
4/25/08,51.37
4/28/08,51.17
4/29/08,51.98
4/30/08,51.17
5/1/08,52.43
5/2/08,52.4
5/5/08,52.17
5/6/08,51.89
5/7/08,51.43
5/8/08,51.39
5/9/08,50.87
5/12/08,51.35
5/13/08,51.45
5/14/08,51.52
5/15/08,51.53
5/16/08,51.49
5/19/08,51.28
5/20/08,51.16
5/21/08,50.9
5/22/08,50.76
5/23/08,50.56
5/27/08,51.18
5/28/08,50.8
5/29/08,51.33
5/30/08,51.81
6/2/08,51.38
6/3/08,50.87
6/4/08,51.36
6/5/08,51.4
6/6/08,50.05
6/9/08,50.32
6/10/08,52.01
6/11/08,51.68
6/12/08,51.75
6/13/08,52
6/16/08,51.49
6/17/08,50.67
6/18/08,51.12
6/19/08,51.39
6/20/08,51
6/23/08,50.85
6/24/08,50.26
6/25/08,49.81
6/26/08,48.52
6/27/08,47.96
6/30/08,48.02
7/1/08,48.04
7/2/08,48.46
7/3/08,48.8
7/7/08,49.2
7/8/08,50.17
7/9/08,50.51
7/10/08,50.85
7/11/08,50.87
7/14/08,50.55
7/15/08,50.91
7/16/08,52.39
7/17/08,52.04
7/18/08,51.6
7/21/08,51.38
7/22/08,52.3
7/23/08,53.55
7/24/08,52.84
7/25/08,52.27
7/28/08,52.85
7/29/08,53.45
7/30/08,54.15
7/31/08,53.06
8/1/08,52.46
8/4/08,53.93
8/5/08,54.36
