Date,PX_CLOSE_1D
2/21/08,49.82
2/22/08,50.51
2/25/08,51.3
2/26/08,52.45
2/27/08,51.83
2/28/08,50.93
2/29/08,50.02
3/3/08,50.19
3/4/08,50.01
3/5/08,50.42
3/6/08,49.68
3/7/08,49.7
3/10/08,49.42
3/11/08,50.59
3/12/08,49.78
3/13/08,49.16
3/14/08,47.81
3/17/08,48.87
3/18/08,49.92
3/19/08,49.97
3/20/08,49.84
3/24/08,50.1
3/25/08,50.17
3/26/08,50.19
3/27/08,50.43
3/28/08,50.29
3/31/08,51.59
4/1/08,52.03
4/2/08,51.76
4/3/08,51.8
4/4/08,52.28
4/7/08,53.06
4/8/08,52.3
4/9/08,51.77
4/10/08,52.39
4/11/08,51.93
4/14/08,51.82
4/15/08,51.55
4/16/08,52.55
4/17/08,51.39
4/18/08,52.07
4/21/08,49.59
4/22/08,49.05
4/23/08,49.19
4/24/08,49.04
4/25/08,49.36
4/28/08,49.36
4/29/08,48.11
4/30/08,48.14
5/1/08,49.72
5/2/08,49.38
5/5/08,48.99
5/6/08,48.75
5/7/08,48.65
5/8/08,48.43
5/9/08,48.25
5/12/08,48.76
5/13/08,47.55
5/14/08,48.3
5/15/08,48.67
5/16/08,48.95
5/19/08,49.53
5/20/08,48.96
5/21/08,48.1
5/22/08,48.48
5/23/08,47.57
5/27/08,47.94
5/28/08,47.85
5/29/08,48.6
5/30/08,48.14
6/2/08,47.59
6/3/08,48.28
6/4/08,49.04
6/5/08,49.46
6/6/08,48.42
6/9/08,48.18
6/10/08,47.94
6/11/08,47.43
6/12/08,47.7
6/13/08,48.33
6/16/08,47.85
6/17/08,47.78
6/18/08,46.97
6/19/08,47.79
6/20/08,46.93
6/23/08,47.6
6/24/08,46.94
6/25/08,47
6/26/08,46.02
6/27/08,45.61
6/30/08,46.16
7/1/08,46.1
7/2/08,46.09
7/3/08,46.98
7/7/08,46.21
7/8/08,48.46
7/9/08,48.37
7/10/08,48.16
7/11/08,47.67
7/14/08,48.01
7/15/08,48.11
7/16/08,48.28
7/17/08,48.38
7/18/08,47.91
7/21/08,47.18
7/22/08,46.73
7/23/08,47.62
7/24/08,48
7/25/08,47.81
7/28/08,47.62
7/29/08,48.26
7/30/08,47.41
7/31/08,47.11
8/1/08,47.04
8/4/08,47.37
8/5/08,47.79
8/6/08,48
8/7/08,47.58
8/8/08,48.51
8/11/08,49.05
8/12/08,49.25
8/13/08,48.38
8/14/08,48.34
8/15/08,48.78
8/18/08,48.05
8/19/08,47.8
8/20/08,47.41
8/21/08,47.17
8/22/08,48.03
8/25/08,47.52
8/26/08,47.02
8/27/08,46.87
8/28/08,46.91
8/29/08,46.65
9/2/08,46.66
9/3/08,46.91
9/4/08,46.09
9/5/08,45.44
9/8/08,46.67
9/9/08,46.46
9/10/08,46.73
9/11/08,46.72
9/12/08,46.6
9/15/08,46.04
9/16/08,45.26
9/17/08,43.92
9/18/08,45.42
9/19/08,46.69
9/22/08,45.9
9/23/08,45.73
9/24/08,46.34
9/25/08,46.6
9/26/08,46.82
9/29/08,43.92
9/30/08,44.03
10/1/08,43.69
10/2/08,42.55
10/3/08,41.31
10/6/08,38.42
10/7/08,38.61
10/8/08,37.9
10/9/08,33.22
10/10/08,31.36
10/13/08,35.86
10/14/08,34.94
10/15/08,32.54
10/16/08,34.38
10/17/08,32.2
10/20/08,34.1
10/21/08,33.68
10/22/08,32.11
10/23/08,33.48
10/24/08,31.73
10/27/08,30.4
10/28/08,33.38
10/29/08,32.03
10/30/08,32.83
10/31/08,33.82
11/3/08,34.01
11/4/08,35.15
11/5/08,33.76
11/6/08,32.87
11/7/08,34.2
11/10/08,34.87
11/11/08,33.97
11/12/08,31.99
11/13/08,34.12
11/14/08,32.06
11/17/08,32.13
11/18/08,33.34
11/19/08,31.41
11/20/08,29.91
11/21/08,30.43
11/24/08,32.08
11/25/08,32.8
11/26/08,32.87
11/28/08,34.15
12/1/08,31.12
12/2/08,33.19
12/3/08,34.97
12/4/08,33.89
12/5/08,34.94
12/8/08,34.86
12/9/08,34.57
12/10/08,35.01
12/11/08,35.62
12/12/08,36.41
12/15/08,35.32
12/16/08,37.21
12/17/08,36.94
12/18/08,36.87
12/19/08,38.26
12/22/08,37.34
12/23/08,37.49
12/24/08,37.8
12/26/08,37.98
12/29/08,38.48
12/30/08,39.67
12/31/08,40.27
1/2/09,40.57
1/5/09,39.46
1/6/09,39.57
1/7/09,38.62
1/8/09,38.81
1/9/09,38.48
1/12/09,38.13
1/13/09,38.52
1/14/09,37.47
1/15/09,37.55
1/16/09,38.13
1/20/09,37.39
1/21/09,38.24
1/22/09,37.8
1/23/09,37.42
1/26/09,37.57
1/27/09,38.61
1/28/09,39.09
1/29/09,37.97
1/30/09,36.82
2/2/09,37.27
2/3/09,38.69
2/4/09,38.01
2/5/09,38.16
2/6/09,38.18
2/9/09,38.12
2/10/09,36.94
2/11/09,36.72
2/12/09,36.34
2/13/09,35.43
2/17/09,34.58
2/18/09,34.4
2/19/09,34.48
2/20/09,33.24
2/23/09,32.31
2/24/09,32.91
2/25/09,32.56
2/26/09,31.04
2/27/09,29.38
3/2/09,27.75
3/3/09,27.49
3/4/09,28.5
3/5/09,27.47
3/6/09,27.98
3/9/09,27.97
3/10/09,29.72
3/11/09,28.85
3/12/09,30.03
3/13/09,30.64
3/16/09,30.81
3/17/09,31.76
3/18/09,32.5
3/19/09,31.83
3/20/09,32.55
3/23/09,34.09
3/24/09,33.17
3/25/09,33.53
3/26/09,34.22
3/27/09,33.75
3/30/09,32.84
3/31/09,33.41
4/1/09,33.78
4/2/09,33.9
4/3/09,33.01
4/6/09,32.84
4/7/09,31.88
4/8/09,32.34
4/9/09,32.64
4/13/09,32.57
4/14/09,32.15
4/15/09,32.81
4/16/09,33.27
4/17/09,33.75
4/20/09,32.99
4/21/09,33.34
4/22/09,32.74
4/23/09,32.88
4/24/09,33.01
4/27/09,33.13
4/28/09,33.2
4/29/09,33.36
4/30/09,32.92
5/1/09,33.49
5/4/09,33.81
5/5/09,34.54
5/6/09,34.43
5/7/09,35.85
5/8/09,35.95
5/11/09,35.35
5/12/09,35.9
5/13/09,35.15
5/14/09,35.12
5/15/09,34.17
5/18/09,34.67
5/19/09,34.53
5/20/09,34.73
5/21/09,34.62
5/22/09,34.34
5/26/09,34.85
5/27/09,33.67
5/28/09,33.78
5/29/09,34.57
6/1/09,34.65
6/2/09,35.05
6/3/09,34.6
6/4/09,34.38
6/5/09,34.77
6/8/09,34.1
6/9/09,33.91
6/10/09,33.91
6/11/09,34.38
6/12/09,34.29
6/15/09,32.96
6/16/09,32.98
6/17/09,33.43
6/18/09,33.85
6/19/09,33.71
6/22/09,33.22
6/23/09,33.56
6/24/09,33.61
6/25/09,35.33
6/26/09,35.28
6/29/09,35.03
6/30/09,34.64
7/1/09,34.96
7/2/09,33.9
7/6/09,33.57
7/7/09,33.49
7/8/09,33.42
7/9/09,33
7/10/09,33.32
7/13/09,32.93
7/14/09,32.91
7/15/09,33.49
7/16/09,33.76
7/17/09,33.53
7/20/09,33.72
7/21/09,34.45
7/22/09,33.79
7/23/09,34.28
7/24/09,34.68
7/27/09,35.15
7/28/09,35.07
7/29/09,34.9
7/30/09,35.05
7/31/09,34.89
8/3/09,34.96
8/4/09,35.06
8/5/09,34.7
8/6/09,34.42
8/7/09,34.89
8/10/09,33.83
8/11/09,33.67
8/12/09,32.94
8/13/09,32.87
8/14/09,32.88
8/17/09,32.71
8/18/09,32.84
8/19/09,32.95
8/20/09,33.15
8/21/09,33.45
8/24/09,33.73
8/25/09,33.87
8/26/09,33.65
8/27/09,34.11
8/28/09,33.6
8/31/09,33.46
9/1/09,32.88
9/2/09,33.01
9/3/09,32.64
9/4/09,33
9/8/09,32.83
9/9/09,32.88
9/10/09,32.82
9/11/09,32.82
9/14/09,33.13
9/15/09,32.75
9/16/09,32.87
9/17/09,32.74
9/18/09,32.86
9/21/09,32.86
9/22/09,32.77
9/23/09,32.45
9/24/09,32.4
9/25/09,32.68
9/28/09,33.04
9/29/09,33.42
9/30/09,33.03
10/1/09,32.65
10/2/09,32.51
10/5/09,32.47
10/6/09,33.02
10/7/09,33.12
10/8/09,33.36
10/9/09,33.78
10/12/09,33.87
10/13/09,33.36
10/14/09,33.92
10/15/09,34.5
10/16/09,34.44
10/19/09,35.28
10/20/09,35.24
10/21/09,33.66
10/22/09,34.1
10/23/09,33.96
10/26/09,33.91
10/27/09,34.18
10/28/09,34
10/29/09,34.14
10/30/09,34.01
11/2/09,34.05
11/3/09,33.54
11/4/09,33.98
11/5/09,34.43
11/6/09,34.5
11/9/09,35.32
11/10/09,35.25
11/11/09,35.19
11/12/09,34.98
11/13/09,35.36
11/16/09,35.89
11/17/09,35.94
11/18/09,36.21
11/19/09,36.12
11/20/09,36.59
11/23/09,36.8
11/24/09,37.3
11/25/09,37.4
11/27/09,36.9
11/30/09,36.73
12/1/09,37.09
12/2/09,37.51
12/3/09,37.4
12/4/09,37.39
12/7/09,37.07
12/8/09,36.51
12/9/09,36.56
12/10/09,35.02
12/11/09,34.97
12/14/09,35.62
12/15/09,35.75
12/16/09,35.71
12/17/09,35.45
12/18/09,35.72
12/21/09,36.24
12/22/09,36.11
12/23/09,35.94
12/24/09,36.08
12/28/09,36.21
12/29/09,36.01
12/30/09,36.17
12/31/09,35.71
1/4/10,35.82
1/5/10,35.19
1/6/10,35.45
1/7/10,35.27
1/8/10,35
1/11/10,35.48
1/12/10,35.36
1/13/10,35.85
1/14/10,36
1/15/10,35.82
1/19/10,37.41
1/20/10,37.3
1/21/10,36.11
1/22/10,35.52
1/25/10,35.75
1/26/10,36.16
1/27/10,36.39
1/28/10,35.75
1/29/10,35.2
2/1/10,35
2/2/10,35.62
2/3/10,35.31
2/4/10,34.67
2/5/10,34.52
2/8/10,34.78
2/9/10,35.2
2/10/10,34.17
2/11/10,34.17
2/12/10,33.95
2/16/10,34.08
2/17/10,34.39
2/18/10,34.41
2/19/10,34.24
2/22/10,34.47
2/23/10,33.96
2/24/10,34.04
2/25/10,34.24
2/26/10,34.34
3/1/10,34.32
3/2/10,34.55
3/3/10,34.32
3/4/10,34.54
3/5/10,35.09
3/8/10,34.93
3/9/10,35.06
3/10/10,35.34
3/11/10,35.82
3/12/10,35.93
3/15/10,36.01
3/16/10,36.18
3/17/10,36.22
3/18/10,36.36
3/19/10,36.17
3/22/10,36.54
3/23/10,36.62
3/24/10,36.26
3/25/10,35.98
3/26/10,35.42
3/29/10,35.47
3/30/10,35.9
3/31/10,36.22
4/1/10,36.15
4/5/10,36.55
4/6/10,36.51
4/7/10,36.52
4/8/10,36.52
4/9/10,36.84
4/12/10,36.57
4/13/10,36.92
4/14/10,36.59
4/15/10,36.72
4/16/10,36.54
4/19/10,36.58
4/20/10,36.53
4/21/10,36.01
4/22/10,35.38
4/23/10,35.46
4/26/10,35.32
4/27/10,34.87
4/28/10,34.76
4/29/10,35.04
4/30/10,34.97
5/3/10,35.19
5/4/10,35.01
5/5/10,35.08
5/6/10,34.4
5/7/10,34.62
5/10/10,35.15
5/11/10,35.28
5/12/10,34.78
5/13/10,34.5
5/14/10,33.92
5/17/10,34.01
5/18/10,33.62
5/19/10,33.86
5/20/10,33.34
5/21/10,33.12
5/24/10,32.98
5/25/10,32.75
5/26/10,32.25
5/27/10,32.82
5/28/10,32.79
6/1/10,32.55
6/2/10,33.21
6/3/10,33.37
6/4/10,32.37
6/7/10,32.58
6/8/10,32.9
6/9/10,32.95
6/10/10,33.46
6/11/10,33.67
6/14/10,33.87
6/15/10,34.39
6/16/10,34.11
6/17/10,34.39
6/18/10,34.61
6/21/10,34.66
6/22/10,34.45
6/23/10,34.56
6/24/10,34.48
6/25/10,33.94
6/28/10,34.02
6/29/10,33.75
6/30/10,33.5
7/1/10,33.12
7/2/10,33.67
7/6/10,33.91
7/7/10,34.66
7/8/10,35.18
7/9/10,35.17
7/12/10,35.13
7/13/10,35.21
7/14/10,34.8
7/15/10,35.17
7/16/10,34.64
7/19/10,34.99
7/20/10,35.26
7/21/10,34.95
7/22/10,35.15
7/23/10,35.17
7/26/10,35.44
7/27/10,36.1
7/28/10,35.67
7/29/10,35.45
7/30/10,35.6
8/2/10,36.34
8/3/10,36.58
8/4/10,36.78
8/5/10,36.85
8/6/10,36.87
8/9/10,36.96
8/10/10,37.77
8/11/10,36.71
8/12/10,36.6
8/13/10,35.7
8/16/10,35.57
8/17/10,34.75
8/18/10,34.78
8/19/10,34.28
8/20/10,34.17
8/23/10,34.31
8/24/10,33.97
8/25/10,34.31
8/26/10,33.95
8/27/10,34.2
8/30/10,33.97
8/31/10,33.59
9/1/10,34.2
9/2/10,34.31
9/3/10,34.66
9/7/10,34.54
9/8/10,34.81
9/9/10,35.17
9/10/10,35.43
9/13/10,35.53
9/14/10,35.65
9/15/10,35.7
9/16/10,35.67
9/17/10,35.79
9/20/10,36.35
9/21/10,36.33
9/22/10,36.05
9/23/10,35.86
9/24/10,36.1
9/27/10,35.94
9/28/10,36.39
9/29/10,36.53
9/30/10,36.53
10/1/10,36.54
10/4/10,36.3
10/5/10,36.89
10/6/10,37.17
10/7/10,37.08
10/8/10,37.07
10/11/10,37.22
10/12/10,37.36
10/13/10,37.4
10/14/10,37.42
10/15/10,37.76
10/18/10,38.06
10/19/10,37.45
10/20/10,36.01
10/21/10,35.5
10/22/10,35.4
10/25/10,35.13
10/26/10,34.9
10/27/10,34.94
10/28/10,35.15
10/29/10,35.2
11/1/10,35.04
11/2/10,35.38
11/3/10,35.57
11/4/10,35.76
11/5/10,35.72
11/8/10,35.73
11/9/10,35.77
11/10/10,34.99
11/11/10,34.95
11/12/10,34.76
11/15/10,34.63
11/16/10,34.43
11/17/10,34.4
11/18/10,34.79
11/19/10,34.5
11/22/10,34.55
11/23/10,34.08
11/24/10,34.22
11/26/10,34.07
11/29/10,33.89
11/30/10,33.66
12/1/10,34.26
12/2/10,34.25
12/3/10,34.14
12/6/10,33.97
12/7/10,34.11
12/8/10,34.31
12/9/10,34.67
12/10/10,34.98
12/13/10,34.97
12/14/10,35.09
12/15/10,35.13
12/16/10,35.18
12/17/10,35.01
12/20/10,35.04
12/21/10,35.14
12/22/10,35.2
12/23/10,35.23
12/27/10,35.07
12/28/10,35.05
12/29/10,35.15
12/30/10,35.02
12/31/10,35.04
1/3/11,35
1/4/11,35.03
1/5/11,34.78
1/6/11,34.94
1/7/11,34.9
1/10/11,34.49
1/11/11,34.91
1/12/11,35.03
1/13/11,34.9
1/14/11,34.91
1/18/11,34.79
1/19/11,34.65
1/20/11,34.75
1/21/11,34.76
1/24/11,34.78
1/25/11,34.73
1/26/11,34.95
1/27/11,35.47
1/28/11,34.77
1/31/11,34.77
2/1/11,35.21
2/2/11,35.42
2/3/11,35.63
2/4/11,35.53
2/7/11,35.8
2/8/11,35.84
2/9/11,35.78
2/10/11,35.62
2/11/11,34.52
2/14/11,34.56
2/15/11,34.47
2/16/11,34.66
2/17/11,34.86
2/18/11,34.6
2/22/11,34.43
2/23/11,34.04
2/24/11,34.11
2/25/11,34.09
2/28/11,34.56
3/1/11,34.26
3/2/11,34.28
3/3/11,34.39
3/4/11,34.6
3/7/11,34.66
3/8/11,34.98
3/9/11,35.09
3/10/11,34.77
3/11/11,34.86
3/14/11,34.73
3/15/11,34.1
3/16/11,33.63
3/17/11,34.13
3/18/11,34.48
3/21/11,34.38
3/22/11,34.57
3/23/11,34.36
3/24/11,34.6
3/25/11,34.48
3/28/11,34.41
3/29/11,34.68
3/30/11,35.18
3/31/11,35.17
4/1/11,34.99
4/4/11,35.03
4/5/11,35.01
4/6/11,35.72
4/7/11,35.73
4/8/11,35.69
4/11/11,35.87
4/12/11,35.84
4/13/11,35.68
4/14/11,35.75
4/15/11,36.01
4/18/11,35.62
4/19/11,35.7
4/20/11,36.13
4/21/11,36.26
4/25/11,36.23
4/26/11,36.82
4/27/11,37.23
4/28/11,37.33
4/29/11,37.01
5/2/11,37.31
5/3/11,38.09
5/4/11,38.12
5/5/11,38.19
5/6/11,38.39
5/9/11,38.55
5/10/11,38.72
5/11/11,38.28
5/12/11,38.76
5/13/11,38.95
5/16/11,39.15
5/17/11,39.13
5/18/11,38.75
5/19/11,38.71
5/20/11,38.44
5/23/11,38.4
5/24/11,38.61
5/25/11,38.31
5/26/11,37.92
5/27/11,37.85
5/31/11,38.48
6/1/11,37.94
6/2/11,37.52
6/3/11,37.05
6/6/11,37.12
6/7/11,37.26
6/8/11,37.27
6/9/11,37.72
6/10/11,37.05
6/13/11,37.22
6/14/11,37.61
6/15/11,37.2
6/16/11,37.22
6/17/11,37.33
6/20/11,37.56
6/21/11,37.77
6/22/11,37.68
6/23/11,37.19
6/24/11,36.76
6/27/11,36.83
6/28/11,37.35
6/29/11,37.27
6/30/11,37.53
7/1/11,37.67
7/5/11,37.28
7/6/11,37.66
7/7/11,37.85
7/8/11,37.71
7/11/11,37.28
7/12/11,37.49
7/13/11,37.56
7/14/11,38.41
7/15/11,38.33
7/18/11,38.05
7/19/11,38.25
7/20/11,38.17
7/21/11,39.32
7/22/11,38.7
7/25/11,38.4
7/26/11,38.46
7/27/11,37.98
7/28/11,38
7/29/11,38.3
8/1/11,37.97
8/2/11,37.16
8/3/11,37.31
8/4/11,35.84
8/5/11,36.24
8/8/11,34.8
8/9/11,35.64
8/10/11,34.49
8/11/11,35.3
8/12/11,34.86
8/15/11,35.77
8/16/11,35.69
8/17/11,35.73
8/18/11,35.01
8/19/11,35.01
8/22/11,35.42
8/23/11,35.92
8/24/11,36.39
8/25/11,35.89
8/26/11,35.77
8/29/11,36.99
8/30/11,37.17
8/31/11,37.51
9/1/11,37.13
9/2/11,36.44
9/6/11,36.23
9/7/11,36.94
9/8/11,37.01
9/9/11,36.13
9/12/11,36.04
9/13/11,36.7
9/14/11,37.17
9/15/11,37.44
9/16/11,37.81
9/19/11,37.52
9/20/11,37.87
9/21/11,37.11
9/22/11,36.56
9/23/11,36.07
9/26/11,36.64
9/27/11,37.18
9/28/11,37.24
9/29/11,37.25
9/30/11,36.97
10/3/11,36.33
10/4/11,36.73
10/5/11,37.03
10/6/11,37.23
10/7/11,37.92
10/10/11,38.41
10/11/11,37.7
10/12/11,37.61
10/13/11,38
10/14/11,38.29
10/17/11,37.97
10/18/11,38.49
10/19/11,38.7
10/20/11,38.61
10/21/11,38.07
10/24/11,38.19
10/25/11,37.42
10/26/11,37.5
10/27/11,37.87
10/28/11,38.28
10/31/11,37.16
11/1/11,37.22
11/2/11,37.48
11/3/11,38.05
11/4/11,37.94
11/7/11,38.35
11/8/11,38.99
11/9/11,37.85
11/10/11,37.23
11/11/11,37.85
11/14/11,37.65
11/15/11,37.65
11/16/11,36.83
11/17/11,36.81
11/18/11,36.89
11/21/11,36.34
11/22/11,36.14
11/23/11,35.65
11/25/11,35.58
11/28/11,36.27
11/29/11,36.14
11/30/11,37.85
12/1/11,37.64
12/2/11,37.37
12/5/11,37.41
12/6/11,38.86
12/7/11,39.43
12/8/11,38.89
12/9/11,39.27
12/12/11,38.99
12/13/11,39.65
12/14/11,40.04
12/15/11,41.22
12/16/11,40.53
12/19/11,40.74
12/20/11,41.12
12/21/11,41.57
12/22/11,41.46
12/23/11,41.64
12/27/11,41.75
12/28/11,41.3
12/29/11,41.5
12/30/11,41.56
1/3/12,41.8
1/4/12,40.71
1/5/12,40.3
1/6/12,39.88
1/9/12,39.81
1/10/12,40.33
1/11/12,39.98
1/12/12,40.18
1/13/12,39.94
1/17/12,40.03
1/18/12,40.18
1/19/12,40.17
1/20/12,39.81
1/23/12,39.4
1/24/12,39.61
1/25/12,39.89
1/26/12,39.44
1/27/12,39.2
1/30/12,39.25
1/31/12,39.74
2/1/12,39.8
2/2/12,39.6
2/3/12,39.51
2/6/12,39.645
2/7/12,39.5
2/8/12,39.78
2/9/12,39.52
2/10/12,39.31
2/13/12,38.85
2/14/12,38.49
2/15/12,38.57
2/16/12,38.72
2/17/12,39.26
2/21/12,38.75
2/22/12,38.82
2/23/12,38.79
2/24/12,39.05
2/27/12,39.18
2/28/12,39.4
2/29/12,39.24
3/1/12,39.35
3/2/12,39.48
3/5/12,39.13
3/6/12,38.64
3/7/12,38.86
3/8/12,39.19
3/9/12,39.56
3/12/12,39.8
3/13/12,40.17
3/14/12,40.26
3/15/12,40.28
3/16/12,40.2
3/19/12,40.32
3/20/12,40.02
3/21/12,39.95
3/22/12,39.81
3/23/12,39.87
3/26/12,40.27
3/27/12,40.26
3/28/12,40.31
3/29/12,39.96
3/30/12,40.265
4/2/12,40.48
4/3/12,40.32
4/4/12,40.33
4/5/12,40.48
4/9/12,39.72
4/10/12,39.42
4/11/12,39.47
4/12/12,39.58
4/13/12,39.18
4/16/12,39.6
4/17/12,40.06
4/18/12,39.7
4/19/12,39.75
4/20/12,39.91
4/23/12,39.81
4/24/12,39.96
4/25/12,40.8
4/26/12,40.88
4/27/12,41.3
4/30/12,41.39
5/1/12,41.24
5/2/12,41.48
5/3/12,41.27
5/4/12,41.28
5/7/12,41.61
5/8/12,41.62
5/9/12,41.3
5/10/12,41.75
5/11/12,41.26
5/14/12,40.93
5/15/12,40.58
5/16/12,40.75
5/17/12,40.53
5/18/12,40.44
5/21/12,40.63
5/22/12,41
5/23/12,40.67
5/24/12,41.16
5/25/12,41.11
5/29/12,41.3
5/30/12,40.99
5/31/12,40.95
6/1/12,40.16
6/4/12,40.15
6/5/12,40.62
6/6/12,41.01
6/7/12,41.27
6/8/12,41.53
6/11/12,41.49
6/12/12,41.64
6/13/12,41.57
6/14/12,41.81
6/15/12,41.99
6/18/12,42.04
6/19/12,42.29
6/20/12,42.04
6/21/12,41.76
6/22/12,42.07
6/25/12,41.47
6/26/12,41.57
6/27/12,41.93
6/28/12,42.1
6/29/12,42.91
7/2/12,42.99
7/3/12,43.16
7/5/12,42.85
7/6/12,42.66
7/9/12,42.95
7/10/12,42.86
7/11/12,42.8
7/12/12,42.84
7/13/12,43.26
7/16/12,43.85
7/17/12,43.96
7/18/12,44.51
7/19/12,44.4
7/20/12,44.17
7/23/12,43.83
7/24/12,41.98
7/25/12,43.12
7/26/12,43.61
7/27/12,44.37
7/30/12,44.05
7/31/12,44.03
8/1/12,43.86
8/2/12,43.32
8/3/12,44.15
8/6/12,43.71
8/7/12,42.75
8/8/12,42.85
8/9/12,42.72
8/10/12,43.6
8/13/12,42.81
8/14/12,42.73
8/15/12,42.98
8/16/12,42.75
8/17/12,42.42
8/20/12,42.34
8/21/12,42.21
8/22/12,42.17
8/23/12,42.4
8/24/12,43.86
8/27/12,44.59
8/28/12,44.71
8/29/12,45.17
8/30/12,44.9
8/31/12,44.91
9/4/12,45.29
9/5/12,45.81
9/6/12,46.81
9/7/12,46.65
9/10/12,46.52
9/11/12,46.49
9/12/12,46.55
9/13/12,47.15
9/14/12,46.72
9/17/12,46.83
9/18/12,46.91
9/19/12,46.86
9/20/12,47.02
9/21/12,47.46
9/24/12,47.4
9/25/12,47.45
9/26/12,47.2
9/27/12,47.64
9/28/12,47.41
10/1/12,47.57
10/2/12,47.94
10/3/12,48.31
10/4/12,48.76
10/5/12,48.23
10/8/12,50.78
10/9/12,51.81
10/10/12,50.23
10/11/12,50.6
10/12/12,50.45
10/15/12,52.53
10/16/12,53.66
10/17/12,53.67
10/18/12,53.81
10/19/12,52.86
10/22/12,52.28
10/23/12,51.91
10/24/12,50.5
10/25/12,51.08
10/26/12,50.21
10/31/12,48.63
11/1/12,49.1
11/2/12,48.55
11/5/12,48.78
11/6/12,48.78
11/7/12,48.18
11/8/12,47.47
11/9/12,47.47
11/12/12,48.3
11/13/12,47.14
11/14/12,46.22
11/15/12,45.96
11/16/12,45.91
11/19/12,47.03
11/20/12,47.19
11/21/12,47.42
11/23/12,47.74
11/26/12,47.93
11/27/12,47.68
11/28/12,48.04
11/29/12,48.58
11/30/12,49.04
12/3/12,48.92
12/4/12,49.22
