Date,PX_CLOSE_1D
2/21/08,105
2/22/08,105.12
2/25/08,106.63
2/26/08,105.95
2/27/08,105.36
2/28/08,105.16
2/29/08,103.2
3/3/08,104
3/4/08,103.72
3/5/08,104.71
3/6/08,104.15
3/7/08,103.18
3/10/08,100.32
3/11/08,101.66
3/12/08,100.45
3/13/08,101.11
3/14/08,100.54
3/17/08,100.05
3/18/08,101.55
3/19/08,100.71
3/20/08,100.05
3/24/08,100.78
3/25/08,102
3/26/08,101.23
3/27/08,100.04
3/28/08,100.18
3/31/08,99.3
4/1/08,101.33
4/2/08,100.21
4/3/08,99.03
4/4/08,100.81
4/7/08,102.25
4/8/08,103.49
4/9/08,103.11
4/10/08,102.81
4/11/08,103.01
4/14/08,103.32
4/15/08,103.11
4/16/08,104.65
4/17/08,104.36
4/18/08,106.24
4/21/08,106.57
4/22/08,103.79
4/23/08,107.88
4/24/08,106.6
4/25/08,107.63
4/28/08,106.65
4/29/08,105.89
4/30/08,106.04
5/1/08,107.72
5/2/08,106.93
5/5/08,106.62
5/6/08,106.53
5/7/08,105.92
5/8/08,105.84
5/9/08,105.84
5/12/08,106.97
5/13/08,108.5
5/14/08,108.71
5/15/08,109.06
5/16/08,109.16
5/19/08,109.94
5/20/08,109.09
5/21/08,106.95
5/22/08,107.09
5/23/08,107.42
5/27/08,107.35
5/28/08,107.69
5/29/08,108.61
5/30/08,109.44
6/2/08,109.16
6/3/08,107.83
6/4/08,108.49
6/5/08,107.67
6/6/08,103.75
6/9/08,102.65
6/10/08,102.98
6/11/08,102.69
6/12/08,102.79
6/13/08,104.07
6/16/08,102.55
6/17/08,101.59
6/18/08,100.96
6/19/08,103.34
6/20/08,102.07
6/23/08,104.13
6/24/08,103.94
6/25/08,103.83
6/26/08,99.5
6/27/08,99.62
6/30/08,98.66
7/1/08,101.09
7/2/08,100.3
7/3/08,101.48
7/7/08,102.62
7/8/08,103.81
7/9/08,102.31
7/10/08,103.51
7/11/08,102.68
7/14/08,101.99
7/15/08,101.65
7/16/08,100.74
7/17/08,100.26
7/18/08,100.99
7/21/08,101.59
7/22/08,103.88
7/23/08,106.84
7/24/08,104.75
7/25/08,104.62
7/28/08,103.35
7/29/08,103.92
7/30/08,104.13
7/31/08,104.33
8/1/08,103.97
8/4/08,104.6
8/5/08,108.1
8/6/08,107.39
8/7/08,108.29
8/8/08,112.06
8/11/08,112.88
8/12/08,114.39
8/13/08,112.97
8/14/08,113.18
8/15/08,116.67
8/18/08,115.25
8/19/08,115.74
8/20/08,114.25
8/21/08,115.04
8/22/08,115.77
8/25/08,114.26
8/26/08,115.59
8/27/08,115.9
8/28/08,119.59
8/29/08,116.44
9/2/08,117.44
9/3/08,116.4
9/4/08,113.82
9/5/08,115.72
9/8/08,117.83
9/9/08,115.89
9/10/08,114.09
9/11/08,115.1
9/12/08,117.27
9/15/08,111.69
9/16/08,112.03
9/17/08,106.03
9/18/08,113.82
9/19/08,110.88
9/22/08,108.2
9/23/08,107.53
9/24/08,107.65
9/25/08,110.51
9/26/08,112.55
9/29/08,109.98
9/30/08,109.67
10/1/08,108.85
10/2/08,104.27
10/3/08,105.01
10/6/08,102.62
10/7/08,99
10/8/08,98
10/9/08,92
10/10/08,87.48
10/13/08,90.26
10/14/08,95.77
10/15/08,87.47
10/16/08,92.61
10/17/08,90.75
10/20/08,93.22
10/21/08,84.19
10/22/08,79.77
10/23/08,79.64
10/24/08,75.84
10/27/08,72.64
10/28/08,80.28
10/29/08,78.61
10/30/08,82.18
10/31/08,85.05
11/3/08,83.98
11/4/08,85.91
11/5/08,84.39
11/6/08,76.82
11/7/08,78.75
11/10/08,77.51
11/11/08,74.41
11/12/08,71.7
11/13/08,75.21
11/14/08,72.26
11/17/08,70.99
11/18/08,73.12
11/19/08,69.33
11/20/08,67.97
11/21/08,72.68
11/24/08,72.74
11/25/08,73.03
11/26/08,73.53
11/28/08,77.11
12/1/08,71.07
12/2/08,73.63
12/3/08,76.91
12/4/08,77.15
12/5/08,80.19
12/8/08,81.65
12/9/08,80.77
12/10/08,79.19
12/11/08,76.2
12/12/08,77.8
12/15/08,75.86
12/16/08,78.41
12/17/08,78.91
12/18/08,78.64
12/19/08,80.01
12/22/08,78.92
12/23/08,78.28
12/24/08,79.22
12/26/08,81.11
12/29/08,80.54
12/30/08,84.29
12/31/08,84.08
1/2/09,85.55
1/5/09,83.85
1/6/09,84.1
1/7/09,81.83
1/8/09,80.81
1/9/09,80.76
1/12/09,79.66
1/13/09,80.25
1/14/09,78.8
1/15/09,79.48
1/16/09,82.16
1/20/09,78.63
1/21/09,80.03
1/22/09,85.08
1/23/09,80.98
1/26/09,82.52
1/27/09,82.48
1/28/09,82.57
1/29/09,83.11
1/30/09,82.04
2/2/09,79.18
2/3/09,79.9
2/4/09,81.06
2/5/09,81.62
2/6/09,79.37
2/9/09,81.5
2/10/09,77.99
2/11/09,77.49
2/12/09,77.38
2/13/09,78.47
2/17/09,75.64
2/18/09,77.03
2/19/09,77.16
2/20/09,77.75
2/23/09,73.87
2/24/09,74.44
2/25/09,70.46
2/26/09,68.93
2/27/09,63.11
3/2/09,59.96
3/3/09,59.35
3/4/09,61.95
3/5/09,59.91
3/6/09,58.85
3/9/09,58.24
3/10/09,59.01
3/11/09,58.18
3/12/09,61.02
3/13/09,61.2
3/16/09,64.61
3/17/09,65.66
3/18/09,66.84
3/19/09,68.22
3/20/09,67.78
3/23/09,69.14
3/24/09,68.09
3/25/09,68.48
3/26/09,72.67
3/27/09,71.28
3/30/09,69.01
3/31/09,69.03
4/1/09,67.59
4/2/09,69.17
4/3/09,67.31
4/6/09,73.28
4/7/09,73.79
4/8/09,72.7
4/9/09,73.32
4/13/09,73.79
4/14/09,72.91
4/15/09,74.33
4/16/09,77.58
4/17/09,76.94
4/20/09,75.73
4/21/09,76.04
4/22/09,74.85
4/23/09,77.36
4/24/09,77.08
4/27/09,78.06
4/28/09,77.13
4/29/09,79.08
4/30/09,78.53
5/1/09,81.59
5/4/09,80.34
5/5/09,79.68
5/6/09,80.48
5/7/09,79.68
5/8/09,82.46
5/11/09,80.35
5/12/09,81.61
5/13/09,80.53
5/14/09,80.87
5/15/09,79.93
5/18/09,80.55
5/19/09,80.54
5/20/09,82.48
5/21/09,81.48
5/22/09,81.44
5/26/09,83.26
5/27/09,81.78
5/28/09,82.99
5/29/09,83.63
6/1/09,84.16
6/2/09,84.37
6/3/09,83.24
6/4/09,84.5
6/5/09,86.17
6/8/09,85.85
6/9/09,84.01
6/10/09,82.93
6/11/09,82.22
6/12/09,82.77
6/15/09,82.07
6/16/09,81.81
6/17/09,82.05
6/18/09,83.49
6/19/09,82.55
6/22/09,81.48
6/23/09,81.35
6/24/09,79.52
6/25/09,81.13
6/26/09,80.97
6/29/09,82.04
6/30/09,80.65
7/1/09,80.64
7/2/09,79.52
7/6/09,80.5
7/7/09,78
7/8/09,78.4
7/9/09,78.28
7/10/09,77.91
7/13/09,80
7/14/09,81.19
7/15/09,81.25
7/16/09,82.49
7/17/09,81.09
7/20/09,82.11
7/21/09,75.13
7/22/09,76.25
7/23/09,75.35
7/24/09,74.08
7/27/09,74.55
7/28/09,75.07
7/29/09,74.71
7/30/09,74.65
7/31/09,74.76
8/3/09,75.75
8/4/09,75.47
8/5/09,74.32
8/6/09,75.7
8/7/09,76.76
8/10/09,76.12
8/11/09,75.21
8/12/09,75.65
8/13/09,75.4
8/14/09,74.59
8/17/09,73.96
8/18/09,74.1
8/19/09,73.74
8/20/09,74.62
8/21/09,74.92
8/24/09,74.71
8/25/09,74.43
8/26/09,74.58
8/27/09,75.54
8/28/09,74.95
8/31/09,74.98
9/1/09,75.6
9/2/09,74.56
9/3/09,74.88
9/4/09,75.28
9/8/09,74.17
9/9/09,73.13
9/10/09,73.56
9/11/09,75.64
9/14/09,75.59
9/15/09,75.7
9/16/09,76.16
9/17/09,79.56
9/18/09,80.08
9/21/09,79.24
9/22/09,79.56
9/23/09,78.83
9/24/09,76.95
9/25/09,77.89
9/28/09,78.4
9/29/09,79.05
9/30/09,78.08
10/1/09,76.61
10/2/09,75.37
10/5/09,74.99
10/6/09,76.18
10/7/09,74.03
10/8/09,73
10/9/09,75.82
10/12/09,74.42
10/13/09,74.1
10/14/09,75.15
10/15/09,74.87
10/16/09,75.44
10/19/09,76.99
10/20/09,71.99
10/21/09,69.66
10/22/09,71.58
10/23/09,72.19
10/26/09,71.47
10/27/09,70.01
10/28/09,68.32
10/29/09,69.49
10/30/09,68.79
11/2/09,68.87
11/3/09,69.4
11/4/09,70.4
11/5/09,72.86
11/6/09,73.77
11/9/09,75.59
11/10/09,74.6
11/11/09,75.08
11/12/09,74.1
11/13/09,76.07
11/16/09,76.98
11/17/09,76.31
11/18/09,75.36
11/19/09,75.28
11/20/09,76.1
11/23/09,77.28
11/24/09,77.56
11/25/09,78.6
11/27/09,77.1
11/30/09,77.23
12/1/09,78.93
12/2/09,78.19
12/3/09,77.47
12/4/09,78.21
12/7/09,78.67
12/8/09,77.66
12/9/09,75.4
12/10/09,75.98
12/11/09,76.78
12/14/09,77.82
12/15/09,77.61
12/16/09,77.46
12/17/09,76.08
12/18/09,76.34
12/21/09,76.27
12/22/09,75.65
12/23/09,75.23
12/24/09,75.11
12/28/09,75.7
12/29/09,76.66
12/30/09,76.12
12/31/09,75.35
1/4/10,76.85
1/5/10,77.65
1/6/10,76.51
1/7/10,74.41
1/8/10,75.61
1/11/10,75.97
