Date,PX_CLOSE_1D
2/21/08,55.23
2/22/08,55.69
2/25/08,56.05
2/26/08,56.45
2/27/08,55.33
2/28/08,54.62
2/29/08,54.11
3/3/08,53.16
3/4/08,53.63
3/5/08,53.94
3/6/08,53.04
3/7/08,52.27
3/10/08,53.8
3/11/08,54.25
3/12/08,53.7
3/13/08,54.89
3/14/08,54.78
3/17/08,54.28
3/18/08,54.85
3/19/08,53.66
3/20/08,54.42
3/24/08,55.77
3/25/08,56.2
3/26/08,55.6
3/27/08,55.45
3/28/08,55.48
3/31/08,55.77
4/1/08,56.91
4/2/08,56.66
4/3/08,56.24
4/4/08,55.72
4/7/08,55.65
4/8/08,55.87
4/9/08,55.74
4/10/08,55.85
4/11/08,55.4
4/14/08,55.54
4/15/08,55.96
4/16/08,57.18
4/17/08,57.33
4/18/08,58.3
4/21/08,58.67
4/22/08,58.35
4/23/08,58.69
4/24/08,59.58
4/25/08,59.67
4/28/08,59.59
4/29/08,60.2
4/30/08,59.58
5/1/08,60.92
5/2/08,60.95
5/5/08,60.87
5/6/08,60.49
5/7/08,59.38
5/8/08,59.77
5/9/08,59.24
5/12/08,60.87
5/13/08,61.17
5/14/08,60.44
5/15/08,60.86
5/16/08,60.53
5/19/08,60.45
5/20/08,59.68
5/21/08,58.78
5/22/08,58.53
5/23/08,57.73
5/27/08,58.11
5/28/08,58.69
5/29/08,59.48
5/30/08,59.32
6/2/08,58.55
6/3/08,57.56
6/4/08,57.98
6/5/08,58.05
6/6/08,56.95
6/9/08,59.31
6/10/08,59.77
6/11/08,58.75
6/12/08,59.34
6/13/08,59.95
6/16/08,59.94
6/17/08,59.21
6/18/08,58.21
6/19/08,58.59
6/20/08,57.4
6/23/08,57.01
6/24/08,57.02
6/25/08,58.05
6/26/08,56.45
6/27/08,56.5
6/30/08,56.22
7/1/08,57.29
7/2/08,57.43
7/3/08,57.19
7/7/08,57.36
7/8/08,58.52
7/9/08,59.25
7/10/08,58.44
7/11/08,57.32
7/14/08,58.09
7/15/08,58.56
7/16/08,60.16
7/17/08,60.37
7/18/08,60.44
7/21/08,59.75
7/22/08,60.12
7/23/08,59.66
7/24/08,58.37
7/25/08,58.65
7/28/08,57.79
7/29/08,59.7
7/30/08,60.45
7/31/08,59.79
8/1/08,59.77
8/4/08,60.55
8/5/08,62.33
8/6/08,62.14
8/7/08,61.86
8/8/08,65.67
8/11/08,65.95
8/12/08,63.94
8/13/08,62.78
8/14/08,63.6
8/15/08,63.63
8/18/08,63.29
8/19/08,62.46
8/20/08,62.43
8/21/08,62.31
8/22/08,63.42
8/25/08,62.08
8/26/08,62.13
8/27/08,62.08
8/28/08,62.89
8/29/08,62
9/2/08,62.91
9/3/08,61.72
9/4/08,60.02
9/5/08,60.3
9/8/08,62.42
9/9/08,63.19
9/10/08,63.2
9/11/08,64.56
9/12/08,64.06
9/15/08,63.72
9/16/08,64.29
9/17/08,62.52
9/18/08,63.96
9/19/08,63.98
9/22/08,62.57
9/23/08,61.78
9/24/08,61.43
9/25/08,62.27
9/26/08,63.2
9/29/08,60.16
9/30/08,61.7
10/1/08,63.66
10/2/08,61.88
10/3/08,60.23
10/6/08,57.15
10/7/08,54.97
10/8/08,53.41
10/9/08,52.08
10/10/08,53.35
10/13/08,57.25
10/14/08,56.02
10/15/08,51.55
10/16/08,54.46
10/17/08,53.8
10/20/08,56.84
10/21/08,55.13
10/22/08,54.18
10/23/08,55.58
10/24/08,53.06
10/27/08,51.76
10/28/08,56.62
10/29/08,57.18
10/30/08,57.87
10/31/08,57.93
11/3/08,57.03
11/4/08,57.78
11/5/08,56
11/6/08,54.17
11/7/08,55.47
11/10/08,56.48
11/11/08,56.29
11/12/08,54.02
11/13/08,56.25
11/14/08,56.13
11/17/08,55.61
11/18/08,56.51
11/19/08,55.44
11/20/08,52.91
11/21/08,55.15
11/24/08,55.51
11/25/08,56.81
11/26/08,57.9
11/28/08,58.75
12/1/08,56.17
12/2/08,57.05
12/3/08,59.55
12/4/08,60.84
12/5/08,62.72
12/8/08,60.92
12/9/08,59.68
12/10/08,61.66
12/11/08,60.87
12/12/08,60.59
12/15/08,60.69
12/16/08,62.92
12/17/08,62.63
12/18/08,61.29
12/19/08,60.32
12/22/08,61.4
12/23/08,60.65
12/24/08,61.28
12/26/08,61.06
12/29/08,60.38
12/30/08,61.74
12/31/08,62.19
1/2/09,63.75
1/5/09,63.56
1/6/09,62.14
1/7/09,61.24
1/8/09,60.52
1/9/09,60.07
1/12/09,60.16
1/13/09,59.32
1/14/09,57.33
1/15/09,57.98
1/16/09,59.67
1/20/09,57.07
1/21/09,58.7
1/22/09,58.72
1/23/09,58.02
1/26/09,58.4
1/27/09,58.52
1/28/09,59.2
1/29/09,58.14
1/30/09,58.02
2/2/09,57.9
2/3/09,58.88
2/4/09,57.86
2/5/09,58.36
2/6/09,58.46
2/9/09,59.02
2/10/09,57.28
2/11/09,57.08
2/12/09,56.96
2/13/09,56.81
2/17/09,55.68
2/18/09,56.41
2/19/09,55.31
2/20/09,54.57
2/23/09,53.87
2/24/09,54.76
2/25/09,54.29
2/26/09,52.2
2/27/09,52.25
3/2/09,51.85
3/3/09,52.43
3/4/09,53.15
3/5/09,50.86
3/6/09,52.12
3/9/09,52.32
3/10/09,52.6
3/11/09,51.03
3/12/09,52.17
3/13/09,52.38
3/16/09,51.69
3/17/09,53.64
3/18/09,55.42
3/19/09,54.71
3/20/09,53.2
3/23/09,55.16
3/24/09,53.56
3/25/09,55.01
3/26/09,56.06
3/27/09,55.01
3/30/09,53.92
3/31/09,54.57
4/1/09,55.24
4/2/09,56.35
4/3/09,56.64
4/6/09,55.94
4/7/09,55.4
4/8/09,55.56
4/9/09,56.67
4/13/09,56.11
4/14/09,54.82
4/15/09,53.95
4/16/09,54.7
4/17/09,56.09
4/20/09,55.33
4/21/09,55.63
4/22/09,54.25
4/23/09,55.3
4/24/09,54.31
4/27/09,54.49
4/28/09,54.53
4/29/09,54.41
4/30/09,53.29
5/1/09,52.4
5/4/09,52.77
5/5/09,53.16
5/6/09,53.69
5/7/09,53.39
5/8/09,54.92
5/11/09,54.4
5/12/09,53.97
5/13/09,53.49
5/14/09,53.57
5/15/09,53.46
5/18/09,54.2
5/19/09,53.87
5/20/09,56.25
5/21/09,55.69
5/22/09,57.08
5/26/09,58.84
5/27/09,57.82
5/28/09,58.13
5/29/09,58.99
6/1/09,59.85
6/2/09,60.38
6/3/09,60.99
6/4/09,60.24
6/5/09,59.87
6/8/09,58.72
6/9/09,59.08
6/10/09,58.36
6/11/09,57.67
6/12/09,58.36
6/15/09,57.78
6/16/09,57.07
6/17/09,57.37
6/18/09,58.16
6/19/09,58.17
6/22/09,57.2
6/23/09,56.76
6/24/09,56.3
6/25/09,57.46
6/26/09,57
6/29/09,57.23
6/30/09,57.49
7/1/09,58.22
7/2/09,57.45
7/6/09,57.99
7/7/09,56.8
7/8/09,57.04
7/9/09,56.77
7/10/09,57.05
7/13/09,57.27
7/14/09,57.46
7/15/09,57.08
7/16/09,57.22
7/17/09,57.84
7/20/09,58.28
7/21/09,58.63
7/22/09,58.82
7/23/09,56.09
7/24/09,56.08
7/27/09,55.97
7/28/09,56.47
7/29/09,56.41
7/30/09,55.59
7/31/09,55.06
8/3/09,55.13
8/4/09,55.01
8/5/09,55.09
8/6/09,54.84
8/7/09,55.2
8/10/09,56.27
8/11/09,56.02
8/12/09,56.26
8/13/09,55.78
8/14/09,55.27
8/17/09,54.5
8/18/09,55.26
8/19/09,55.65
8/20/09,56.14
8/21/09,56.27
8/24/09,55.91
8/25/09,56.45
8/26/09,57
8/27/09,57.16
8/28/09,56.07
8/31/09,56.24
9/1/09,55.64
9/2/09,55.37
9/3/09,55.57
9/4/09,56.14
9/8/09,56.22
9/9/09,55.09
9/10/09,54.85
9/11/09,54.39
9/14/09,54.23
9/15/09,54.98
9/16/09,56.47
9/17/09,56.46
9/18/09,57
9/21/09,56.14
9/22/09,55.81
9/23/09,55.54
9/24/09,56.12
9/25/09,56.95
9/28/09,57.17
9/29/09,57.17
9/30/09,57.07
10/1/09,56.74
10/2/09,56.71
10/5/09,56.61
10/6/09,57.44
10/7/09,57.14
10/8/09,56.87
10/9/09,56.7
10/12/09,56.68
10/13/09,57.05
10/14/09,57.5
10/15/09,58.2
10/16/09,58.78
10/19/09,59.28
10/20/09,58.92
10/21/09,58.33
10/22/09,59.5
10/23/09,59.43
10/26/09,59.2
10/27/09,59.02
10/28/09,58.64
10/29/09,59.14
10/30/09,58.61
11/2/09,59.16
11/3/09,59.24
11/4/09,60.29
11/5/09,61.48
11/6/09,61.72
11/9/09,62.64
11/10/09,62.28
11/11/09,62.83
11/12/09,62.17
11/13/09,63.58
11/16/09,64.53
11/17/09,63.57
11/18/09,63.98
11/19/09,63.41
11/20/09,63.97
11/23/09,63.99
11/24/09,64.22
11/25/09,64.45
11/27/09,63.6
11/30/09,63.25
12/1/09,63.54
12/2/09,62.5
12/3/09,61.97
12/4/09,61.59
12/7/09,61.93
12/8/09,60.61
12/9/09,60.6
12/10/09,61.05
12/11/09,61.66
12/14/09,62.14
12/15/09,62
12/16/09,62.42
12/17/09,61.92
12/18/09,62.17
12/21/09,62.66
12/22/09,62.97
12/23/09,63.36
12/24/09,63.42
12/28/09,63.61
12/29/09,63.59
12/30/09,62.89
12/31/09,62.44
1/4/10,62.78
1/5/10,62.3
1/6/10,61.45
1/7/10,61.9
1/8/10,61.84
1/11/10,62.32
1/12/10,62.66
1/13/10,62.59
1/14/10,62.65
1/15/10,62.28
1/19/10,63.48
1/20/10,63.01
1/21/10,63.2
1/22/10,63.39
1/25/10,63.09
1/26/10,63.81
1/27/10,63.73
1/28/10,62.83
1/29/10,62.43
2/1/10,63.89
2/2/10,64.03
2/3/10,65.21
2/4/10,64.06
2/5/10,63.37
2/8/10,62.92
2/9/10,63.57
2/10/10,63.25
2/11/10,63.79
2/12/10,63.59
2/16/10,64.01
2/17/10,64.26
2/18/10,64.48
2/19/10,64.74
2/22/10,64.77
2/23/10,64.87
2/24/10,65.26
2/25/10,64.38
2/26/10,63.85
3/1/10,63.98
3/2/10,64.07
3/3/10,63.63
3/4/10,63.43
3/5/10,63.67
3/8/10,65.12
3/9/10,65.1
3/10/10,64.94
3/11/10,65.21
3/12/10,65.53
3/15/10,65.93
3/16/10,66.07
3/17/10,66.38
3/18/10,66.68
3/19/10,66.53
3/22/10,67.01
3/23/10,67.35
3/24/10,66.8
3/25/10,66.9
3/26/10,67.26
3/29/10,67.07
3/30/10,67.24
3/31/10,66.72
4/1/10,67.58
4/5/10,68.03
4/6/10,67.81
4/7/10,67.7
4/8/10,68.76
4/9/10,68.68
4/12/10,68.53
4/13/10,68.92
4/14/10,69.42
4/15/10,69.16
4/16/10,69.03
4/19/10,69.92
4/20/10,70.34
4/21/10,70.36
4/22/10,71.03
4/23/10,71.15
4/26/10,71.02
4/27/10,70.53
4/28/10,70.34
4/29/10,71.52
4/30/10,70.59
5/3/10,71.42
5/4/10,70.64
5/5/10,70.66
5/6/10,69.42
5/7/10,68.01
5/10/10,70.58
5/11/10,70.48
5/12/10,70.67
5/13/10,70.5
5/14/10,69.59
5/17/10,70.14
5/18/10,70.02
5/19/10,69.4
5/20/10,67.66
5/21/10,67.86
5/24/10,67.66
5/25/10,67.84
5/26/10,66.01
5/27/10,67.2
5/28/10,66.87
6/1/10,66.36
6/2/10,67.77
6/3/10,67.85
6/4/10,66.7
6/7/10,66.75
6/8/10,68.375
6/9/10,68.26
6/10/10,69.37
6/11/10,69.54
6/14/10,69.3
6/15/10,70.4
6/16/10,70.29
6/17/10,70.05
6/18/10,69.88
6/21/10,69.92
6/22/10,68.64
6/23/10,68.63
6/24/10,67.73
6/25/10,67.42
6/28/10,67.33
6/29/10,66.46
6/30/10,65.87
7/1/10,66.71
7/2/10,66.14
7/6/10,66.11
7/7/10,67.31
7/8/10,69.02
7/9/10,69.22
7/12/10,69.94
7/13/10,70.84
7/14/10,70.9
7/15/10,71.33
7/16/10,69.94
7/19/10,69.91
7/20/10,70.87
7/21/10,70.11
7/22/10,71.4
7/23/10,69.9
7/26/10,70.87
7/27/10,70.4
7/28/10,69.77
7/29/10,69.38
7/30/10,69.73
8/2/10,70.25
8/3/10,70.45
8/4/10,70.69
8/5/10,70.45
8/6/10,71.74
8/9/10,72.92
8/10/10,72.84
8/11/10,71.57
8/12/10,72.06
8/13/10,71.89
8/16/10,71.79
8/17/10,73.22
8/18/10,73.25
8/19/10,72.97
8/20/10,73.08
8/23/10,73.34
8/24/10,72.72
8/25/10,73.19
8/26/10,73.16
8/27/10,73.99
8/30/10,72.74
8/31/10,73.06
9/1/10,74.54
9/2/10,75.02
9/3/10,75.09
9/7/10,75.8
9/8/10,76.08
9/9/10,74.37
9/10/10,75.01
9/13/10,74.57
9/14/10,73.94
9/15/10,74.71
9/16/10,74.8
