Date,PX_CLOSE_1D
2/21/08,65.96
2/22/08,66.21
2/25/08,66.68
2/26/08,67.68
2/27/08,67.21
2/28/08,66.97
2/29/08,66.18
3/3/08,66.35
3/4/08,66.05
3/5/08,66.7024
3/6/08,66.51
3/7/08,65.8
3/10/08,65.76
3/11/08,66.66
3/12/08,67.04
3/13/08,67.36
3/14/08,66.74
3/17/08,67.05
3/18/08,68.54
3/19/08,67.81
3/20/08,69.37
3/24/08,69.97
3/25/08,69.54
3/26/08,69.64
3/27/08,69.41
3/28/08,69.44
3/31/08,70.07
4/1/08,71.14
4/2/08,70.48
4/3/08,70.47
4/4/08,70.6
4/7/08,70.51
4/8/08,70.65
4/9/08,70.21
4/10/08,70.18
4/11/08,70
4/14/08,70.12
4/15/08,70.23
4/16/08,69.27
4/17/08,67.56
4/18/08,67.17
4/21/08,67.8
4/22/08,67.47
4/23/08,67.17
4/24/08,66.83
4/25/08,66.55
4/28/08,66.21
4/29/08,65.9
4/30/08,67.05
5/1/08,67.03
5/2/08,66.8
5/5/08,66.65
5/6/08,66.65
5/7/08,65.8
5/8/08,65.92
5/9/08,65.21
5/12/08,65.35
5/13/08,65.73
5/14/08,65.5
5/15/08,66.36
5/16/08,66.75
5/19/08,66.86
5/20/08,65.86
5/21/08,65.17
5/22/08,65.62
5/23/08,65.27
5/27/08,65.07
5/28/08,64.87
5/29/08,65.47
5/30/08,66.05
6/2/08,65.36
6/3/08,65.41
6/4/08,66.45
6/5/08,66.67
6/6/08,65.37
6/9/08,66.07
6/10/08,66.66
6/11/08,66.2
6/12/08,66.46
6/13/08,66.45
6/16/08,65.9
6/17/08,65.8
6/18/08,65
6/19/08,64.9
6/20/08,63.16
6/23/08,62.93
6/24/08,62.86
6/25/08,63.49
6/26/08,62.25
6/27/08,60.49
6/30/08,60.81
7/1/08,61.98
7/2/08,62.69
7/3/08,63.67
7/7/08,62.91
7/8/08,63.66
7/9/08,63.8
7/10/08,64.22
7/11/08,63.45
7/14/08,63.93
7/15/08,64.35
7/16/08,63.89
7/17/08,63.89
7/18/08,63.67
7/21/08,63.64
7/22/08,64.1
7/23/08,64.7
7/24/08,64.51
7/25/08,64.46
7/28/08,63.83
7/29/08,65.54
7/30/08,66.57
7/31/08,65.48
8/1/08,64.95
8/4/08,65.82
8/5/08,67.97
8/6/08,67.77
8/7/08,67.48
8/8/08,69.63
8/11/08,69.43
8/12/08,70.34
8/13/08,69.6
8/14/08,69.71
8/15/08,71.6
8/18/08,71.27
8/19/08,70.72
8/20/08,70.3
8/21/08,69.9
8/22/08,71.61
8/25/08,70.13
8/26/08,69.84
8/27/08,70.06
8/28/08,71.01
8/29/08,69.77
9/2/08,70.47
9/3/08,71.42
9/4/08,70.44
9/5/08,70.78
9/8/08,72.37
9/9/08,71.89
9/10/08,72.39
9/11/08,73.08
9/12/08,73.15
9/15/08,72.14
9/16/08,72
9/17/08,70.94
9/18/08,71.31
9/19/08,70.36
9/22/08,68.04
9/23/08,67.28
9/24/08,68.74
9/25/08,68.51
9/26/08,68.84
9/29/08,66.75
9/30/08,69.69
10/1/08,71.27
10/2/08,71.44
10/3/08,71.02
10/6/08,68.58
10/7/08,66.25
10/8/08,66.1
10/9/08,60.88
10/10/08,59.56
10/13/08,63.29
10/14/08,64.1
10/15/08,59.82
10/16/08,61.77
