Date,PX_CLOSE_1D
2/21/08,22.48
2/22/08,23.11
2/25/08,23.11
2/26/08,23.19
2/27/08,23.22
2/28/08,21.94
2/29/08,21.2
3/3/08,20.59
3/4/08,20.81
3/5/08,20.94
3/6/08,19.97
3/7/08,20.36
3/10/08,19.96
3/11/08,21.92
3/12/08,21.37
3/13/08,21.51
3/14/08,20.25
3/17/08,19.5
3/18/08,20.01
3/19/08,20.4
3/20/08,21.72
3/24/08,22.14
3/25/08,22.1
3/26/08,21.18
3/27/08,20.57
3/28/08,19.65
3/31/08,19.75
4/1/08,21.45
4/2/08,21.71
4/3/08,21.81
4/4/08,20.91
4/7/08,21.15
4/8/08,20.52
4/9/08,20.18
4/10/08,19.96
4/11/08,19.77
4/14/08,18.56
4/15/08,20.12
4/16/08,20.3
4/17/08,21.69
4/18/08,21.6
4/21/08,20.99
4/22/08,20.82
4/23/08,20.43
4/24/08,21.86
4/25/08,22.22
4/28/08,22.28
4/29/08,22.35
4/30/08,21.92
5/1/08,23.04
5/2/08,23.47
5/5/08,22.89
5/6/08,22.86
5/7/08,21.91
5/8/08,21.46
5/9/08,21.17
5/12/08,21.74
5/13/08,21.43
5/14/08,21.17
5/15/08,21.32
5/16/08,20.17
5/19/08,19.71
5/20/08,19.73
5/21/08,18.9
5/22/08,19.14
5/23/08,18.66
5/27/08,19.04
5/28/08,18.08
5/29/08,18.57
5/30/08,17.82
6/2/08,17.29
6/3/08,16.68
6/4/08,16.43
6/5/08,16.54
6/6/08,15.45
6/9/08,14.34
6/10/08,14.4
6/11/08,13.69
6/12/08,13.49
6/13/08,13.28
6/16/08,13.75
6/17/08,12.73
6/18/08,11.4
6/19/08,11.18
6/20/08,11.22
6/23/08,10.87
6/24/08,11.36
6/25/08,11.58
6/26/08,11.14
6/27/08,10.78
6/30/08,10.91
7/1/08,11.59
7/2/08,10.59
7/3/08,10.31
7/7/08,9.64
7/8/08,10.95
7/9/08,9.6
7/10/08,9.48
7/11/08,8.54
7/14/08,7.13
7/15/08,6.88
7/16/08,8.01
7/17/08,9.79
7/18/08,10.11
7/21/08,10.4
7/22/08,11.4
7/23/08,11.8
7/24/08,10.16
7/25/08,9.08
7/28/08,8.68
7/29/08,9.52
7/30/08,9.74
7/31/08,9.48
8/1/08,9.53
8/4/08,9.39
8/5/08,9.93
8/6/08,10.14
8/7/08,9.47
8/8/08,9.64
8/11/08,9.98
8/12/08,9.06
8/13/08,8.36
8/14/08,8.88
8/15/08,9.1
8/18/08,8.45
8/19/08,8.29
8/20/08,8.55
8/21/08,8.15
8/22/08,8.48
8/25/08,8.18
8/26/08,8.36
8/27/08,8.47
8/28/08,8.92
8/29/08,9.27
9/2/08,11.05
9/3/08,11
9/4/08,10.5
9/5/08,11.09
9/8/08,12.24
9/9/08,11.55
9/10/08,11.24
