Date,PX_CLOSE_1D
2/21/08,83.91
2/22/08,85.45
2/25/08,87.54
2/26/08,89.1
2/27/08,88.25
2/28/08,89.69
2/29/08,86.45
3/3/08,86.98
3/4/08,84.55
3/5/08,87.85
3/6/08,87.66
3/7/08,85.61
3/10/08,82.8
3/11/08,86.61
3/12/08,84.34
3/13/08,85.16
3/14/08,83.9
3/17/08,81.23
3/18/08,84.37
3/19/08,80.17
3/20/08,80.64
3/24/08,81.27
3/25/08,82.64
3/26/08,86.52
3/27/08,85.38
3/28/08,85.66
3/31/08,87
4/1/08,89.24
4/2/08,90.8
4/3/08,91.3
4/4/08,91.37
4/7/08,90.58
4/8/08,89.62
4/9/08,90.18
4/10/08,92.6
4/11/08,90.61
4/14/08,91.19
4/15/08,91.13
4/16/08,94.8
4/17/08,95.3
4/18/08,101.85
4/21/08,106.91
4/22/08,105.91
4/23/08,104.87
4/24/08,101.94
4/25/08,102.74
4/28/08,102.36
4/29/08,99.26
4/30/08,100.55
5/1/08,98.35
5/2/08,99.63
5/5/08,101.56
5/6/08,103.58
5/7/08,102.01
5/8/08,105.56
5/9/08,105.01
5/12/08,103.45
5/13/08,104.9
5/14/08,103.06
5/15/08,103.45
5/16/08,105.31
5/19/08,106.63
5/20/08,105.92
5/21/08,104.26
5/22/08,102.47
5/23/08,100.03
5/27/08,101.03
5/28/08,102.89
5/29/08,100.99
5/30/08,101.13
6/2/08,100.26
6/3/08,98.98
6/4/08,99.15
6/5/08,104.99
6/6/08,101.94
6/9/08,104.81
6/10/08,102.34
6/11/08,101.3
6/12/08,98.82
6/13/08,99.69
6/16/08,100.87
6/17/08,103.47
6/18/08,104.92
6/19/08,104.83
6/20/08,104.1
6/23/08,108.42
6/24/08,106.76
6/25/08,105.22
6/26/08,105.01
6/27/08,105.9
6/30/08,107.43
7/1/08,109.86
7/2/08,103.36
7/3/08,101.88
7/7/08,99.51
7/8/08,96.19
7/9/08,97.23
7/10/08,99.23
7/11/08,99.16
7/14/08,101.79
7/15/08,97.31
7/16/08,95.86
7/17/08,96.78
7/18/08,100.55
7/21/08,106.08
7/22/08,104.09
7/23/08,100.54
7/24/08,99.27
7/25/08,98.96
7/28/08,97.64
7/29/08,96.23
7/30/08,102.41
7/31/08,101.6
8/1/08,100.2
8/4/08,94.41
8/5/08,95.91
8/6/08,97.45
8/7/08,95.77
8/8/08,92.28
8/11/08,92.69
8/12/08,92.65
8/13/08,95.91
8/14/08,94.05
8/15/08,91.47
8/18/08,89.37
8/19/08,92.88
8/20/08,95.62
8/21/08,98.96
8/22/08,97.26
8/25/08,96.18
8/26/08,98
8/27/08,98.52
8/28/08,96.68
8/29/08,94.22
9/2/08,90.46
9/3/08,88.65
9/4/08,86.74
9/5/08,85.79
9/8/08,86.01
9/9/08,80.9
9/10/08,84.61
9/11/08,87.03
9/12/08,88.68
9/15/08,82.95
9/16/08,86.85
9/17/08,82.02
9/18/08,82.64
9/19/08,90.71
9/22/08,89.94
9/23/08,86.22
9/24/08,86.23
9/25/08,88.02
9/26/08,86.03
9/29/08,73.75
9/30/08,78.09
10/1/08,76.87
10/2/08,72.06
10/3/08,72.53
10/6/08,69.5
10/7/08,65.49
10/8/08,66.14
10/9/08,60.55
10/10/08,60.5
10/13/08,65.55
10/14/08,66.67
10/15/08,54.4
10/16/08,53.2
10/17/08,49.99
10/20/08,55.74
10/21/08,53.78
10/22/08,49.74
10/23/08,52.04
10/24/08,47.52
10/27/08,43.28
10/28/08,48
10/29/08,51.3
10/30/08,52.75
10/31/08,51.65
11/3/08,49.73
11/4/08,52.08
11/5/08,50.24
11/6/08,48.15
11/7/08,51.38
11/10/08,51.14
11/11/08,48.64
11/12/08,44.99
11/13/08,51.7
11/14/08,48.76
11/17/08,47.95
11/18/08,50.23
11/19/08,47.3
11/20/08,39.6
11/21/08,45
11/24/08,46.39
11/25/08,46.7
11/26/08,50.14
11/28/08,50.74
12/1/08,42.08
12/2/08,43.92
12/3/08,42.53
12/4/08,40
12/5/08,39.08
12/8/08,41.31
12/9/08,42.01
12/10/08,43.63
12/11/08,42.35
12/12/08,41.1
12/15/08,42.81
12/16/08,42.88
12/17/08,42.54
12/18/08,39.43
12/19/08,40.44
12/22/08,38.91
12/23/08,37.74
12/24/08,38.22
12/26/08,39.47
12/29/08,40.91
12/30/08,42.12
12/31/08,42.33
1/2/09,45.62
1/5/09,46.82
1/6/09,47.6
1/7/09,45.61
1/8/09,45.83
1/9/09,43
1/12/09,41.35
1/13/09,42.82
1/14/09,40.43
1/15/09,40.18
1/16/09,39.9
1/20/09,36.83
1/21/09,38.99
1/22/09,37.27
1/23/09,41.09
1/26/09,42
1/27/09,41.97
1/28/09,44.16
1/29/09,41.93
1/30/09,40.81
2/2/09,40.79
2/3/09,40.99
2/4/09,42.28
2/5/09,44.55
2/6/09,45.29
2/9/09,46.12
2/10/09,43.36
2/11/09,42.55
2/12/09,41.97
2/13/09,41.52
2/17/09,38.2
2/18/09,38.2
2/19/09,38.54
2/20/09,36.88
2/23/09,35.19
2/24/09,38.05
2/25/09,37.23
2/26/09,38.17
2/27/09,38.06
3/2/09,35.84
3/3/09,35.66
3/4/09,38.83
3/5/09,36.16
3/6/09,36.73
3/9/09,36.67
3/10/09,39.52
3/11/09,38.8
3/12/09,39.96
3/13/09,39.3
3/16/09,41.44
3/17/09,42.11
3/18/09,42.91
3/19/09,44.31
3/20/09,41.52
3/23/09,46.75
3/24/09,46.16
3/25/09,45.34
3/26/09,45.54
3/27/09,43.52
3/30/09,41.12
3/31/09,40.62
4/1/09,41.1
4/2/09,43.79
4/3/09,45.07
4/6/09,43.95
4/7/09,42.99
4/8/09,43.54
4/9/09,44.16
4/13/09,44.25
4/14/09,44.11
4/15/09,45.53
4/16/09,46
4/17/09,46.57
4/20/09,44.1
4/21/09,46.63
4/22/09,46.23
4/23/09,46.61
4/24/09,49.73
4/27/09,48.38
4/28/09,48.04
4/29/09,50.03
4/30/09,48.99
5/1/09,50.67
5/4/09,54.08
5/5/09,54.2
5/6/09,56.05
5/7/09,54.1
5/8/09,56.53
5/11/09,54.77
5/12/09,55.75
5/13/09,53.54
5/14/09,53.93
5/15/09,52.05
5/18/09,54.15
5/19/09,54.01
5/20/09,55.04
5/21/09,51.94
5/22/09,51.75
5/26/09,53.92
5/27/09,53.41
5/28/09,56.35
5/29/09,57.23
6/1/09,59.17
6/2/09,59.18
6/3/09,56.89
6/4/09,58.31
6/5/09,57.27
6/8/09,57.33
6/9/09,58.85
6/10/09,59.27
6/11/09,62.18
6/12/09,60.27
6/15/09,58.59
6/16/09,56.97
6/17/09,55.98
6/18/09,55.75
6/19/09,55.35
6/22/09,52.32
6/23/09,53.3
6/24/09,53.46
6/25/09,55.35
6/26/09,54.48
6/29/09,54.97
6/30/09,54.11
7/1/09,54.28
7/2/09,52.55
7/6/09,51.45
7/7/09,49.2
7/8/09,49.84
7/9/09,50.22
7/10/09,50.51
7/13/09,50.99
7/14/09,51.83
7/15/09,54.56
7/16/09,55.48
7/17/09,56.01
7/20/09,56.88
7/21/09,57
7/22/09,55.3
7/23/09,57.77
7/24/09,57.34
7/27/09,56.49
7/28/09,54.6
7/29/09,52.49
7/30/09,53.43
7/31/09,53.5
8/3/09,55.95
8/4/09,55.2
8/5/09,54.1
8/6/09,53.7
8/7/09,53.25
8/10/09,53.51
8/11/09,52.88
8/12/09,53.88
8/13/09,55.13
8/14/09,53.38
8/17/09,51.3
8/18/09,52.03
8/19/09,52.87
8/20/09,53.8
8/21/09,56.56
8/24/09,57.34
8/25/09,56.13
8/26/09,56.58
8/27/09,56.9
8/28/09,57.36
8/31/09,56.2
9/1/09,54.91
9/2/09,54.06
9/3/09,54.42
9/4/09,55.87
9/8/09,58.1
9/9/09,57.36
9/10/09,58.43
9/11/09,60.39
9/14/09,59.81
9/15/09,59.83
9/16/09,62.41
9/17/09,61.79
9/18/09,61.85
9/21/09,60.79
9/22/09,61.57
9/23/09,60.26
9/24/09,59.16
9/25/09,59.48
9/28/09,60.53
9/29/09,60.42
9/30/09,59.6
10/1/09,57.13
