Date,PX_CLOSE_1D
2/21/08,35.15
2/22/08,35.52
2/25/08,35.8
2/26/08,36.19
2/27/08,35.7
2/28/08,35.19
2/29/08,34.53
3/3/08,34.65
3/4/08,34.98
3/5/08,34.97
3/6/08,34.4
3/7/08,34.29
3/10/08,34.12
3/11/08,35.13
3/12/08,34.66
3/13/08,34.63
3/14/08,34.45
3/17/08,35.46
3/18/08,35.94
3/19/08,35.28
3/20/08,36.13
3/24/08,35.77
3/25/08,35.71
3/26/08,35.66
3/27/08,35.66
3/28/08,35.37
3/31/08,35.61
4/1/08,36.4
4/2/08,36.64
4/3/08,36.53
4/4/08,36.51
4/7/08,36.25
4/8/08,36.27
4/9/08,36.74
4/10/08,36.31
4/11/08,36.3
4/14/08,36.18
4/15/08,36.49
4/16/08,36.95
4/17/08,36.8
4/18/08,36.95
4/21/08,36.74
4/22/08,36.55
4/23/08,36.59
4/24/08,36.76
4/25/08,37.1
4/28/08,36.9
4/29/08,36.79
4/30/08,37.23
5/1/08,36.92
5/2/08,37.11
5/5/08,36.81
5/6/08,36.66
5/7/08,36.33
5/8/08,36.39
5/9/08,36.29
5/12/08,36.87
5/13/08,36.7
5/14/08,36.98
5/15/08,36.72
5/16/08,36.74
5/19/08,37.04
5/20/08,36.85
5/21/08,36.49
5/22/08,36.81
5/23/08,36
5/27/08,36.19
5/28/08,36.13
5/29/08,36.28
5/30/08,36.2
6/2/08,35.61
6/3/08,35.36
6/4/08,35.68
6/5/08,35.95
6/6/08,34.92
6/9/08,35.25
6/10/08,35.14
6/11/08,34.96
6/12/08,35.04
6/13/08,35.09
6/16/08,35.28
6/17/08,35.15
6/18/08,35.02
6/19/08,34.99
6/20/08,34.49
6/23/08,34.87
6/24/08,34.91
6/25/08,35.42
6/26/08,34.7
6/27/08,34.43
6/30/08,34.92
7/1/08,35.16
7/2/08,35.21
7/3/08,35.32
7/7/08,35.16
7/8/08,35.81
7/9/08,36.62
7/10/08,36.5
7/11/08,35.99
7/14/08,35.64
7/15/08,35.53
7/16/08,35.35
7/17/08,34.88
7/18/08,34.84
7/21/08,35.54
7/22/08,35.65
7/23/08,35.23
7/24/08,35.52
7/25/08,35.13
7/28/08,35.36
7/29/08,35.73
7/30/08,35.87
7/31/08,35.39
8/1/08,34.59
8/4/08,35.3
8/5/08,35.89
8/6/08,35.62
8/7/08,35.33
8/8/08,36.57
8/11/08,37.55
8/12/08,37.47
8/13/08,37.4
8/14/08,37
8/15/08,37.44
8/18/08,37.61
8/19/08,37.46
8/20/08,37.52
8/21/08,37.56
8/22/08,37.79
8/25/08,37.27
8/26/08,37.58
8/27/08,37.66
8/28/08,38
8/29/08,37.51
9/2/08,37.28
9/3/08,37.62
9/4/08,37.3
9/5/08,37.1
9/8/08,38
