Date,PX_CLOSE_1D
2/21/08,34.47
2/22/08,34.98
2/25/08,35.5
2/26/08,35.57
2/27/08,35.2
2/28/08,35.96
2/29/08,34.83
3/3/08,35.06
3/4/08,34.87
3/5/08,35.45
3/6/08,35.02
3/7/08,35.01
3/10/08,34.65
3/11/08,36.09
3/12/08,35.32
3/13/08,35.5
3/14/08,35.03
3/17/08,35.79
3/18/08,37.07
3/19/08,36.05
3/20/08,36.85
3/24/08,38.03
3/25/08,38
3/26/08,37.76
3/27/08,37.66
3/28/08,37.66
3/31/08,38.3
4/1/08,39.48
4/2/08,38.72
4/3/08,39.01
4/4/08,38.48
4/7/08,39.01
4/8/08,38.8
4/9/08,38.19
4/10/08,38.2
4/11/08,37.3
4/14/08,37.2
4/15/08,37.33
4/16/08,37.61
4/17/08,37.57
4/18/08,37.51
4/21/08,37.59
4/22/08,37.81
4/23/08,38.53
4/24/08,38.65
4/25/08,38.58
4/28/08,38.3
4/29/08,38.59
4/30/08,38.71
5/1/08,39.94
5/2/08,40.13
5/5/08,39.85
5/6/08,39.56
5/7/08,38.82
5/8/08,38.86
5/9/08,38.59
5/12/08,39.11
5/13/08,39.26
5/14/08,39.61
5/15/08,39.86
5/16/08,40.07
5/19/08,40.51
5/20/08,39.37
5/21/08,38.89
5/22/08,39.18
5/23/08,38.53
5/27/08,38.83
5/28/08,39.51
5/29/08,40.2
5/30/08,39.9
6/2/08,39.35
6/3/08,38.78
6/4/08,38.5
6/5/08,39.46
6/6/08,38.21
6/9/08,37.56
6/10/08,37.22
6/11/08,36.14
6/12/08,36.39
6/13/08,36.68
6/16/08,36.17
6/17/08,35.69
6/18/08,35.25
6/19/08,35.15
6/20/08,34.43
6/23/08,34.38
6/24/08,34.27
6/25/08,34.47
6/26/08,33.47
6/27/08,32.76
6/30/08,33.69
7/1/08,33.3
7/2/08,32.89
7/3/08,32.58
7/7/08,32.68
7/8/08,32.96
7/9/08,32.12
7/10/08,32.77
7/11/08,32.58
7/14/08,32.37
7/15/08,31.95
7/16/08,31.92
7/17/08,31.75
7/18/08,32.12
7/21/08,31.83
7/22/08,31.82
7/23/08,33.06
7/24/08,31.7
7/25/08,31.4
7/28/08,30.63
7/29/08,30.7
7/30/08,30.91
7/31/08,30.81
8/1/08,30.44
8/4/08,30.17
8/5/08,31.05
8/6/08,30.87
8/7/08,30.31
8/8/08,30.97
8/11/08,31.84
8/12/08,31.65
8/13/08,31.3
8/14/08,31.12
8/15/08,31.66
8/18/08,31.4
8/19/08,30.8
8/20/08,30.69
8/21/08,30.76
8/22/08,31.17
8/25/08,30.52
8/26/08,30.62
8/27/08,31.2
8/28/08,32.23
8/29/08,31.99
9/2/08,32.25
9/3/08,32.42
9/4/08,31.58
9/5/08,31.5
9/8/08,32.55
9/9/08,32.55
9/10/08,31.55
9/11/08,31.56
9/12/08,31.54
9/15/08,29.96
9/16/08,29.88
9/17/08,28.8
9/18/08,29.08
9/19/08,30.43
9/22/08,29.21
9/23/08,28.75
9/24/08,28.98
9/25/08,30.07
9/26/08,30
9/29/08,27.75
9/30/08,27.92
10/1/08,28.09
10/2/08,27.97
10/3/08,28.12
10/6/08,26.86
10/7/08,25.74
10/8/08,24.73
10/9/08,23
10/10/08,22.42
10/13/08,26.07
10/14/08,26.68
10/15/08,24.62
10/16/08,25.46
10/17/08,25.29
10/20/08,26.99
10/21/08,25.73
10/22/08,23.78
10/23/08,25.26
10/24/08,24.68
10/27/08,24.39
10/28/08,27.61
10/29/08,26.9
10/30/08,27.1
10/31/08,26.77
