Date,PX_CLOSE_1D
2/21/08,86.92
2/22/08,87.17
2/25/08,89.13
2/26/08,89.89
2/27/08,89.39
2/28/08,89.38
2/29/08,87.01
3/3/08,87.75
3/4/08,86.69
3/5/08,87.19
3/6/08,84.51
3/7/08,82.49
3/10/08,82.46
3/11/08,86.68
3/12/08,85.97
3/13/08,87.05
3/14/08,85.91
3/17/08,85.79
3/18/08,88.47
3/19/08,84.43
3/20/08,85
3/24/08,85.95
3/25/08,85.2
3/26/08,86.26
3/27/08,86.2
3/28/08,85.22
3/31/08,84.58
4/1/08,87.02
4/2/08,88.52
4/3/08,88.23
4/4/08,88.74
4/7/08,88.92
4/8/08,89.61
4/9/08,89.7
4/10/08,89.55
4/11/08,88.62
4/14/08,89.7
4/15/08,90.8
4/16/08,92.89
4/17/08,93.38
4/18/08,94
4/21/08,94.26
4/22/08,94.39
4/23/08,94.22
4/24/08,92.6
4/25/08,92.46
4/28/08,92.45
4/29/08,91.79
4/30/08,93.07
5/1/08,89.7
5/2/08,89.61
5/5/08,89.51
5/6/08,90.07
5/7/08,88.82
5/8/08,89.93
5/9/08,88.82
5/12/08,89.19
5/13/08,89.68
5/14/08,89.91
5/15/08,91.3
5/16/08,92.67
5/19/08,94.36
5/20/08,94.56
5/21/08,93.67
5/22/08,92.51
5/23/08,90.7
5/27/08,89.8
5/28/08,90.43
5/29/08,89.35
5/30/08,88.76
6/2/08,87.81
6/3/08,85.71
6/4/08,85.75
6/5/08,89.31
6/6/08,86.79
6/9/08,89.07
6/10/08,87.89
6/11/08,88.61
6/12/08,87.06
6/13/08,88.36
6/16/08,87.99
6/17/08,88.62
6/18/08,87.83
6/19/08,85.79
6/20/08,84.91
6/23/08,87.7
6/24/08,86.92
6/25/08,87.6
6/26/08,86.41
6/27/08,86.55
6/30/08,88.13
7/1/08,88.35
7/2/08,87.41
7/3/08,88.27
7/7/08,86.95
7/8/08,85.94
7/9/08,84.31
7/10/08,86.06
7/11/08,85.48
7/14/08,85.42
7/15/08,82.19
7/16/08,80.81
7/17/08,80.33
7/18/08,81.54
7/21/08,82.98
7/22/08,82.86
7/23/08,80.99
7/24/08,80.8
7/25/08,81.7
7/28/08,80.68
7/29/08,80.9
7/30/08,84.38
7/31/08,80.43
8/1/08,79.72
8/4/08,76.6
8/5/08,78.35
8/6/08,78.33
8/7/08,77.44
8/8/08,78.72
8/11/08,78.16
8/12/08,76.88
8/13/08,78.17
8/14/08,77.45
8/15/08,77.07
8/18/08,76.53
8/19/08,77.95
8/20/08,78.81
8/21/08,80.35
8/22/08,80.3
8/25/08,78.71
8/26/08,79.95
8/27/08,80.47
8/28/08,81.18
8/29/08,80.01
9/2/08,77.32
9/3/08,78.02
9/4/08,76.14
9/5/08,75.62
9/8/08,76.77
9/9/08,73.26
9/10/08,75.25
9/11/08,75.56
9/12/08,77.5
