Date,SPX,NYSEVOL,CCMP
2/21/08,1342.53,1193.01,2299.78
2/22/08,1353.11,1193.94,2303.35
2/25/08,1371.8,1272.39,2327.48
2/26/08,1381.29,1260.1,2344.99
2/27/08,1380.02,1186.13,2353.78
2/28/08,1367.68,1249.09,2331.57
2/29/08,1330.63,1515.78,2271.48
3/3/08,1331.34,1311.66,2258.6
3/4/08,1326.75,1502.79,2260.28
3/5/08,1333.7,1381.35,2272.81
3/6/08,1304.34,1327.26,2220.5
3/7/08,1293.37,1422.29,2212.49
3/10/08,1273.37,1357.65,2169.34
3/11/08,1320.65,1637.4,2255.76
3/12/08,1308.77,1315.38,2243.87
3/13/08,1315.48,1567.88,2263.61
3/14/08,1288.14,1577.36,2212.49
3/17/08,1276.6,1703.61,2177.01
3/18/08,1330.74,1655.96,2268.26
3/19/08,1298.42,1662.35,2209.96
3/20/08,1329.51,2406.6,2258.11
3/24/08,1349.88,1295.24,2326.75
3/25/08,1352.99,1184.19,2341.05
3/26/08,1341.13,1147.06,2324.36
3/27/08,1325.76,1167.24,2280.83
3/28/08,1315.22,1075.8,2261.18
3/31/08,1322.7,1200.92,2279.1
4/1/08,1370.18,1367.29,2362.75
4/2/08,1367.53,1176.16,2361.4
4/3/08,1369.31,1023.53,2363.3
4/4/08,1370.4,1006.11,2370.98
4/7/08,1372.54,1036.94,2364.83
4/8/08,1365.54,973.18,2348.76
4/9/08,1354.49,1007.55,2322.12
4/10/08,1360.55,1082.19,2351.7
4/11/08,1332.83,1061.85,2290.24
4/14/08,1328.32,939.33,2275.82
4/15/08,1334.43,1011.5,2286.04
4/16/08,1364.71,1104.69,2350.11
4/17/08,1365.56,981.37,2341.83
4/18/08,1390.33,1231.42,2402.97
4/21/08,1388.17,923.45,2408.04
4/22/08,1375.94,1102.03,2376.94
4/23/08,1379.93,1123.14,2405.21
4/24/08,1388.82,1208.1,2428.92
4/25/08,1397.84,1047.28,2422.93
4/28/08,1396.37,992.7,2424.4
4/29/08,1390.94,997.45,2426.1
4/30/08,1385.59,1218.72,2412.8
5/1/08,1409.34,1194.44,2480.71
5/2/08,1413.9,1059.18,2476.99
5/5/08,1407.49,952.55,2464.12
5/6/08,1418.26,1041.08,2483.31
5/7/08,1392.57,1062.16,2438.49
5/8/08,1397.68,1034.42,2451.24
5/9/08,1388.28,942.74,2445.52
5/12/08,1403.58,889.81,2488.49
5/13/08,1403.04,1035.97,2495.12
5/14/08,1408.66,991.27,2496.7
5/15/08,1423.57,1017.24,2533.73
5/16/08,1425.35,1125.64,2528.85
5/19/08,1426.63,955.89,2516.09
5/20/08,1413.4,1050.91,2492.26
5/21/08,1390.71,1178.55,2448.27
5/22/08,1394.35,1044.87,2464.58
5/23/08,1375.93,937.26,2444.67
5/27/08,1385.35,949.07,2481.24
5/28/08,1390.84,1006.6,2486.7
5/29/08,1398.26,1005.97,2508.32
5/30/08,1400.38,1208.96,2522.66
