Date,RF.Open,RF.High,RF.Low,RF.Close,EMA (RF; 9),RSI (RF; 14),VOL (RF).Volume
03/17/17,15.05,15.105,14.80,15.05,15.12,48.60,34592963
03/16/17,15.11,15.235,14.99,15.05,15.1375,48.60,18075839
03/15/17,15.19,15.35,14.93,15.00,15.1594,47.04,26270861
03/14/17,15.02,15.10,14.75,15.09,15.1992,49.55,11586789
03/13/17,15.18,15.22,14.99,15.12,15.2265,50.39,8711012
03/10/17,15.30,15.33,14.89,15.13,15.2531,50.65,13792070
03/09/17,15.25,15.46,15.13,15.20,15.2839,52.43,11940336
03/08/17,15.46,15.56,15.18,15.21,15.3049,52.68,15977414
03/07/17,15.23,15.37,15.1201,15.25,15.3286,53.61,11551941
03/06/17,15.22,15.29,15.055,15.23,15.3483,53.23,13541055
03/03/17,15.35,15.50,15.31,15.36,15.3779,56.04,17479060
03/02/17,16.01,16.03,15.31,15.32,15.3823,55.36,19305596
03/01/17,15.61,16.01,15.60,15.91,15.3979,70.05,21595017
02/28/17,15.25,15.30,15.12,15.27,15.2699,59.13,13345864
02/27/17,15.23,15.36,15.17,15.31,15.2699,60.41,9942209
02/24/17,15.16,15.295,15.07,15.20,15.2598,58.10,15315565
02/23/17,15.34,15.38,15.07,15.34,15.2748,62.40,15193596
02/22/17,15.29,15.46,15.27,15.32,15.2585,62.03,13662358
02/21/17,15.495,15.5701,15.325,15.43,15.2431,65.35,11857758
02/17/17,15.38,15.405,15.21,15.38,15.1963,64.55,11504434
02/16/17,15.62,15.62,15.32,15.59,15.1504,70.93,19147590
02/15/17,15.65,15.66,15.35,15.56,15.0405,70.55,14434674
02/14/17,15.16,15.57,15.11,15.49,14.9107,69.67,12495411
02/13/17,15.12,15.34,15.12,15.15,14.7658,64.99,11738863
02/10/17,15.01,15.17,14.9101,14.99,14.6698,62.45,17501165
02/09/17,14.59,14.99,14.55,14.99,14.5897,62.45,17083241
02/08/17,14.43,14.51,14.24,14.49,14.4897,53.35,14423761
02/07/17,14.70,14.86,14.56,14.58,14.4896,55.60,16867089
02/06/17,14.52,14.74,14.48,14.63,14.467,56.84,10411452
02/03/17,14.52,14.71,14.36,14.62,14.4263,56.66,14251013
02/02/17,14.29,14.425,14.20,14.25,14.3778,49.45,12731634
02/01/17,14.55,14.74,14.44,14.46,14.4098,54.20,14411928
01/31/17,14.40,14.6356,14.28,14.41,14.3972,53.21,15317303
01/30/17,14.40,14.52,14.21,14.45,14.394,54.08,16119416
01/27/17,14.66,14.67,14.45,14.54,14.38,56.00,9361511
01/26/17,14.65,14.81,14.55,14.70,14.34,59.49,13194747
01/25/17,14.45,14.65,14.37,14.62,14.2501,58.28,14882831
01/24/17,13.96,14.34,13.945,14.24,14.1576,51.98,16160229
01/23/17,13.89,14.08,13.78,13.91,14.137,45.32,13191108
01/20/17,13.97,14.14,13.90,14.04,14.1937,47.75,20038236
01/19/17,14.08,14.30,13.91,13.98,14.2321,46.52,12778909
01/18/17,13.88,14.04,13.65,14.03,14.2951,47.38,20628181
01/17/17,14.51,14.51,13.76,13.78,14.3614,42.45,26022985
01/13/17,14.54,14.93,14.54,14.68,14.5068,61.83,26587335
01/12/17,14.45,14.47,14.16,14.43,14.4635,56.73,15692169
01/11/17,14.40,14.52,14.275,14.52,14.4719,59.38,15381880
01/10/17,14.46,14.67,14.32,14.56,14.4598,60.55,15784919
01/09/17,14.34,14.465,14.21,14.37,14.4348,56.80,9540217
01/06/17,14.55,14.63,14.40,14.48,14.451,59.86,8194546
01/05/17,14.54,14.685,14.21,14.43,14.4437,58.93,12715517
01/04/17,14.53,14.69,14.47,14.62,14.4471,64.19,9759691
01/03/17,14.56,14.72,14.23,14.43,14.4039,60.95,15937831
12/30/16,14.23,14.47,14.1625,14.36,14.3974,59.70,17954567
12/29/16,14.45,14.49,14.12,14.17,14.4067,56.18,13542078
12/28/16,14.65,14.66,14.35,14.43,14.4659,63.20,12332758
12/27/16,14.60,14.685,14.545,14.64,14.4749,69.74,9803896
12/23/16,14.56,14.63,14.45,14.56,14.4336,68.59,8573764
12/22/16,14.54,14.6367,14.4229,14.55,14.4021,68.46,11161483
12/21/16,14.57,14.60,14.43,14.53,14.3651,68.19,10701748
12/20/16,14.40,14.68,14.35,14.58,14.3238,69.53,20740677
12/19/16,14.19,14.345,14.07,14.28,14.2598,65.79,20147439
12/16/16,14.58,14.67,14.15,14.20,14.2548,64.72,40262127
12/15/16,14.56,14.7075,14.34,14.52,14.2684,73.25,23696624
12/14/16,14.15,14.73,13.95,14.34,14.2056,71.27,34204435
12/13/16,14.41,14.48,14.08,14.29,14.172,70.72,22190065
12/12/16,14.49,14.70,14.30,14.36,14.1424,72.55,27497599
12/09/16,14.62,14.62,14.36,14.60,14.0881,79.08,22542914
12/08/16,14.51,14.73,14.38,14.55,13.9601,78.71,29711467
12/07/16,14.16,14.48,14.10,14.46,13.8126,78.06,27360615
12/06/16,14.12,14.27,13.92,14.24,13.6507,76.43,24188875
12/05/16,13.93,14.03,13.84,14.02,13.5034,74.68,25628884
12/02/16,13.80,13.82,13.59,13.74,13.3743,72.24,22137737
12/01/16,13.61,13.90,13.55,13.84,13.2828,74.62,26961659
11/30/16,13.47,13.64,13.425,13.54,13.1435,72.05,23328268
11/29/16,13.13,13.32,13.005,13.18,13.0444,68.50,18209011
11/28/16,13.17,13.28,13.03,13.08,13.0105,67.44,16588506
11/25/16,13.36,13.425,13.26,13.36,12.9931,73.95,7301040
11/23/16,13.24,13.33,13.10,13.30,12.9014,73.44,22008695
11/22/16,13.21,13.25,12.98,13.15,12.8018,72.17,30905030
11/21/16,13.36,13.38,13.11,13.11,12.7147,71.84,25605349
11/18/16,13.17,13.33,13.1001,13.26,12.6159,74.96,41142447
11/17/16,12.83,13.23,12.8001,13.17,12.4549,74.34,59508341
11/16/16,13.21,13.35,12.87,12.89,12.2761,72.36,52425707
11/15/16,13.12,13.54,12.85,13.53,12.1227,86.51,38734360
11/14/16,12.87,13.40,12.86,13.27,11.7708,85.44,49675963
11/11/16,12.11,12.47,12.00,12.45,11.396,81.01,30371264
11/10/16,11.88,12.399,11.87,12.18,11.1325,79.06,39210227
11/09/16,11.06,11.635,10.99,11.54,10.8707,72.96,26809751
11/08/16,10.88,10.945,10.70,10.89,10.7033,62.70,17481286
11/07/16,10.76,10.97,10.74,10.96,10.6567,65.17,20491945
11/04/16,10.47,10.68,10.32,10.52,10.5808,54.77,17525462
11/03/16,10.59,10.7071,10.43,10.46,10.596,52.99,21137508
11/02/16,10.78,10.79,10.49,10.51,10.63,54.65,26381904
11/01/16,10.80,10.88,10.67,10.84,10.66,67.67,23181116
10/31/16,10.71,10.81,10.65,10.71,10.615,64.58,14577276
10/28/16,10.86,10.88,10.59,10.65,10.5913,63.07,17271883
10/27/16,10.82,10.955,10.77,10.84,10.5766,72.11,17057863
10/26/16,10.54,10.80,10.54,10.75,10.5108,70.23,16865597
10/25/16,10.58,10.70,10.555,10.62,10.451,67.28,12755924
10/24/16,10.72,10.79,10.61,10.61,10.4087,67.05,12002901
10/21/16,10.52,10.70,10.48,10.64,10.3584,68.41,13930481
10/20/16,10.54,10.79,10.51,10.61,10.288,67.80,25311251
10/19/16,10.33,10.61,10.25,10.54,10.2075,66.40,32929733
10/18/16,10.00,10.26,9.87,10.25,10.1244,59.67,35550918
10/17/16,10.11,10.1271,9.97,10.01,10.093,52.34,18969336
10/14/16,10.06,10.22,9.99,10.05,10.1138,53.85,15093793
10/13/16,10.10,10.12,9.78,9.95,10.1297,50.52,17088844
10/12/16,10.26,10.365,10.22,10.24,10.1746,62.70,18336351
10/11/16,10.31,10.4287,10.18,10.26,10.1583,63.69,15658433
10/10/16,10.42,10.47,10.34,10.37,10.1329,69.23,9465869
10/07/16,10.34,10.38,10.18,10.33,10.0736,68.30,15135900
10/06/16,10.31,10.43,10.26,10.32,10.0095,68.07,14442671
10/05/16,10.12,10.38,10.12,10.31,9.9318,67.86,15204964
10/04/16,9.95,10.18,9.93,10.08,9.8373,62.57,19913189
10/03/16,9.82,9.94,9.78,9.92,9.7766,58.12,14397537
09/30/16,9.74,9.94,9.66,9.87,9.7408,56.62,15485470
09/29/16,9.79,10.00,9.64,9.67,9.7085,49.98,17502477
09/28/16,9.77,9.83,9.63,9.83,9.7181,56.39,12901748
09/27/16,9.50,9.73,9.45,9.71,9.6901,52.11,15910007
09/26/16,9.69,9.71,9.53,9.56,9.6852,45.95,17065098
09/23/16,9.71,9.88,9.70,9.78,9.7164,55.71,13343885
09/22/16,9.74,9.79,9.68,9.77,9.7006,55.31,12771286
09/21/16,9.70,9.795,9.615,9.68,9.6832,51.66,21196618
09/20/16,9.77,9.77,9.59,9.65,9.684,50.40,8484138
09/19/16,9.62,9.79,9.62,9.66,9.6925,50.81,13215176
09/16/16,9.56,9.63,9.485,9.56,9.7006,46.81,23556980
09/15/16,9.43,9.66,9.37,9.63,9.7358,49.42,16660765
09/14/16,9.58,9.62,9.46,9.52,9.7622,44.94,22165015
09/13/16,9.82,9.82,9.49,9.61,9.8227,48.19,32703850
09/12/16,9.81,9.96,9.69,9.92,9.8759,62.66,22353122
09/09/16,9.92,10.03,9.83,9.83,9.8649,59.37,20459441
09/08/16,9.97,10.08,9.87,9.93,9.8736,65.31,17252991
09/07/16,9.80,9.98,9.79,9.96,9.8596,67.19,25300451
09/06/16,9.96,10.00,9.83,9.89,9.8344,65.01,25577992
09/02/16,9.90,9.98,9.77,9.93,9.8206,67.38,14590185
09/01/16,9.99,10.025,9.75,9.85,9.7932,65.01,15272606
08/31/16,9.97,10.00,9.80,9.97,9.779,72.32,14360361
08/30/16,9.89,9.985,9.85,9.97,9.7312,72.32,13300556
08/29/16,9.81,9.97,9.8003,9.86,9.6716,69.62,12043658
08/26/16,9.68,9.87,9.65,9.79,9.6244,67.76,18289044
08/25/16,9.63,9.74,9.63,9.65,9.5831,63.64,15908752
08/24/16,9.68,9.75,9.62,9.63,9.5663,63.01,14044735
08/23/16,9.69,9.74,9.67,9.67,9.5504,65.10,11186266
08/22/16,9.63,9.72,9.59,9.66,9.5205,64.83,14818922
08/19/16,9.62,9.69,9.54,9.69,9.4856,66.26,11066767
08/18/16,9.55,9.63,9.52,9.63,9.4345,64.81,12426253
08/17/16,9.53,9.58,9.485,9.55,9.3857,62.85,16724794
08/16/16,9.50,9.62,9.45,9.54,9.3446,62.60,17488039
08/15/16,9.29,9.58,9.28,9.56,9.2957,63.37,18672224
08/12/16,9.21,9.23,9.14,9.23,9.2297,54.88,9984182
08/11/16,9.26,9.34,9.22,9.30,9.2296,57.51,11666423
08/10/16,9.37,9.39,9.24,9.26,9.212,56.40,18158976
08/09/16,9.40,9.46,9.35,9.37,9.20,60.42,10501266
08/08/16,9.40,9.46,9.36,9.39,9.1575,61.16,11365154
08/05/16,9.22,9.45,9.20,9.39,9.0993,61.16,16707649
08/04/16,9.06,9.11,9.02,9.04,9.0267,52.41,12049578
08/03/16,8.91,9.11,8.88,9.04,9.0233,52.41,18022474
08/02/16,9.01,9.04,8.82,8.90,9.0192,48.40,20249286
08/01/16,9.21,9.24,9.00,9.02,9.049,51.88,19576455
07/29/16,9.10,9.32,9.10,9.17,9.0562,56.60,28556890
07/28/16,9.06,9.19,9.00,9.16,9.0277,56.35,13576490
07/27/16,9.18,9.29,9.05,9.10,8.9947,54.93,23562438
07/26/16,8.98,9.17,8.95,9.15,8.9683,56.35,20471630
07/25/16,9.01,9.05,8.95,8.97,8.9229,52.22,11725219
07/22/16,8.94,9.09,8.91,9.03,8.9112,53.80,19156862
07/21/16,8.95,9.09,8.91,8.94,8.8814,51.77,21094840
07/20/16,8.93,8.97,8.80,8.92,8.8668,51.33,26129509
07/19/16,9.00,9.095,8.85,8.88,8.8535,50.49,33691915
07/18/16,9.12,9.24,9.085,9.16,8.8469,56.87,21831229
07/15/16,9.13,9.18,9.02,9.12,8.7686,56.13,21362607
07/14/16,9.06,9.12,9.01,9.08,8.6808,55.43,20403434
07/13/16,8.80,8.87,8.73,8.86,8.581,51.44,18219772
07/12/16,8.68,8.86,8.68,8.83,8.5112,50.88,21033438
07/11/16,8.54,8.625,8.50,8.57,8.4315,45.90,18731983
07/08/16,8.39,8.53,8.37,8.44,8.3969,43.22,23632611
07/07/16,8.18,8.40,8.17,8.25,8.3861,39.13,21554021
07/06/16,7.95,8.20,7.80,8.19,8.4201,37.82,26737245
07/05/16,8.24,8.25,7.96,8.02,8.4776,34.07,17939427
07/01/16,8.44,8.49,8.29,8.36,8.592,38.36,15101232
06/30/16,8.49,8.51,8.335,8.51,8.6501,40.45,26525463
06/29/16,8.25,8.43,8.22,8.42,8.6851,38.59,20291677
06/28/16,8.14,8.26,8.01,8.23,8.7513,34.58,26918997
06/27/16,8.37,8.37,7.86,7.91,8.8817,27.16,30331377
06/24/16,8.89,9.00,8.52,8.53,9.1246,34.13,31847591
06/23/16,9.26,9.45,9.24,9.45,9.2732,52.80,12912837
06/22/16,9.19,9.31,9.11,9.12,9.229,42.28,14676121
06/21/16,9.20,9.25,9.06,9.17,9.2563,43.65,13159236
06/20/16,9.31,9.415,9.16,9.17,9.2779,43.65,12534901
06/17/16,8.97,9.13,8.95,9.09,9.3048,41.01,20699005
06/16/16,9.01,9.04,8.79,8.97,9.3586,36.91,44565119
06/15/16,9.15,9.36,9.06,9.10,9.4557,39.69,29858719
06/14/16,9.31,9.42,9.02,9.09,9.5446,39.36,20246511
06/13/16,9.46,9.57,9.36,9.36,9.6583,45.53,17879719
06/10/16,9.53,9.55,9.445,9.52,9.7328,49.84,16682670
06/09/16,9.71,9.73,9.54,9.70,9.786,55.29,13663194
06/08/16,9.76,9.88,9.75,9.82,9.8075,59.31,16659875
06/07/16,9.95,9.97,9.82,9.83,9.8044,59.65,12400094
06/06/16,9.82,10.00,9.77,9.95,9.798,63.66,14497490
06/03/16,9.71,9.77,9.50,9.73,9.76,58.96,20465095
06/02/16,9.88,10.00,9.82,10.00,9.7676,69.15,11752885
06/01/16,9.67,9.96,9.60,9.93,9.7094,67.81,20315453
05/31/16,9.90,9.995,9.77,9.83,9.6543,65.85,24980023
05/27/16,9.80,9.87,9.71,9.87,9.6104,67.38,13115319
05/26/16,9.85,9.86,9.675,9.73,9.5455,64.71,13385414
05/25/16,9.73,9.90,9.72,9.85,9.4993,69.21,17412576
05/24/16,9.53,9.68,9.52,9.65,9.4117,65.50,14449998
05/23/16,9.49,9.555,9.36,9.47,9.3521,61.63,14037745
05/20/16,9.52,9.615,9.45,9.51,9.3226,63.09,14868982
05/19/16,9.52,9.70,9.34,9.47,9.2758,62.26,19345740
05/18/16,9.15,9.665,9.14,9.64,9.2272,68.32,36225626
05/17/16,9.01,9.31,8.95,9.17,9.124,57.77,26396880
05/16/16,8.94,9.09,8.92,9.05,9.1126,54.14,12127330
05/13/16,9.13,9.26,8.89,8.99,9.1282,52.24,16600739
05/12/16,9.27,9.36,9.06,9.13,9.1627,57.40,17652720
05/11/16,9.18,9.39,9.18,9.22,9.1709,60.99,14905134
05/10/16,9.10,9.26,9.08,9.23,9.1587,61.39,13378613
05/09/16,9.06,9.14,8.98,9.05,9.1408,56.68,13770872
05/06/16,8.95,9.09,8.92,9.08,9.1635,57.77,20046729
05/05/16,9.09,9.15,8.98,9.04,9.1844,56.74,16834356
