Date,BAC.Open,BAC.High,BAC.Low,BAC.Close,EMA (BAC; 9),RSI (BAC; 14),VOL (BAC).Volume
03/17/17,25.22,25.27,24.83,24.86,25.1384,54.02,105222387
03/16/17,25.24,25.49,25.19,25.22,25.208,62.42,70306233
03/15/17,25.39,25.55,24.96,25.18,25.205,61.81,114662671
03/14/17,25.19,25.34,25.05,25.32,25.2113,65.26,63182745
03/13/17,25.30,25.41,25.13,25.30,25.1841,65.01,56886181
03/10/17,25.62,25.62,25.09,25.31,25.1552,65.23,86998808
03/09/17,25.35,25.53,25.23,25.35,25.1165,66.09,78984607
03/08/17,25.60,25.77,25.22,25.26,25.0581,65.13,105314569
03/07/17,25.22,25.36,25.10,25.21,25.0076,64.62,64053694
03/06/17,25.33,25.35,25.08,25.25,24.957,65.33,75660430
03/03/17,25.30,25.65,25.30,25.44,24.8837,68.69,92681401
03/02/17,25.68,25.80,25.20,25.23,24.7447,66.95,99824552
03/01/17,25.37,25.61,25.22,25.50,24.6233,71.71,143947510
02/28/17,24.48,24.70,24.42,24.68,24.4042,64.61,90241979
02/27/17,24.20,24.66,24.19,24.57,24.3352,63.47,69129148
02/24/17,24.12,24.35,24.02,24.23,24.2765,59.74,97074433
02/23/17,24.79,24.89,24.51,24.58,24.2882,66.20,85845982
02/22/17,24.61,24.95,24.54,24.79,24.2152,70.43,81531895
02/21/17,24.59,24.80,24.58,24.78,24.0715,70.35,78571450
02/17/17,24.28,24.58,24.20,24.52,23.8944,68.17,85789239
02/16/17,24.54,24.62,24.30,24.58,23.738,69.26,98144469
02/15/17,24.34,24.77,24.11,24.58,23.5275,69.26,151233334
02/14/17,23.40,24.17,23.33,24.06,23.2644,65.08,139711380
02/13/17,23.17,23.54,23.17,23.40,23.0655,58.41,105342461
02/10/17,23.19,23.24,22.96,23.08,22.9818,54.49,90548254
02/09/17,22.76,23.15,22.64,23.12,22.9573,55.10,102634174
02/08/17,22.73,22.73,22.45,22.67,22.9166,49.24,102264514
02/07/17,23.28,23.29,22.86,22.90,22.9783,52.49,87982945
02/06/17,23.15,23.38,23.07,23.12,22.9978,55.76,92228389
02/03/17,23.15,23.35,22.95,23.29,22.9673,58.36,116035108
02/02/17,22.74,22.79,22.51,22.72,22.8866,51.27,88679063
02/01/17,22.97,23.22,22.82,22.89,22.9283,53.81,103630853
01/31/17,22.77,23.025,22.50,22.64,22.9379,50.46,91044261
01/30/17,23.20,23.20,22.71,22.95,23.0123,55.06,91561224
01/27/17,23.43,23.45,23.28,23.36,23.0279,61.99,54590182
01/26/17,23.41,23.55,23.28,23.44,22.9449,63.44,84146352
01/25/17,23.32,23.42,23.10,23.37,22.8211,62.73,99753317
01/24/17,22.61,23.095,22.48,22.95,22.6839,58.23,98508678
01/23/17,22.62,22.76,22.415,22.56,22.6174,53.37,61385646
01/20/17,22.66,22.93,22.52,22.64,22.6317,54.58,102564870
01/19/17,22.73,22.81,22.41,22.53,22.6297,53.23,75990836
01/18/17,22.30,22.65,22.10,22.63,22.6546,54.60,124366028
01/17/17,22.68,22.79,22.01,22.05,22.6607,47.29,152495923
01/13/17,23.21,23.409,22.80,23.01,22.8134,62.86,161930864
01/12/17,23.01,23.12,22.61,22.92,22.7642,61.76,120474191
01/11/17,22.94,23.07,22.72,23.07,22.7253,64.72,92385551
01/10/17,22.59,23.14,22.54,22.94,22.6391,63.30,100977665
01/09/17,22.51,22.71,22.40,22.55,22.5639,58.69,75901509
01/06/17,22.78,22.85,22.56,22.68,22.5674,61.07,66281476
01/05/17,22.82,22.93,22.345,22.68,22.5392,61.07,86826447
01/04/17,22.72,22.96,22.60,22.95,22.504,65.84,76875052
01/03/17,22.60,22.68,22.20,22.53,22.3925,61.49,99298080
12/30/16,22.02,22.26,21.95,22.10,22.3581,56.20,72605892
12/29/16,22.33,22.39,21.77,22.00,22.4227,54.86,79188397
12/28/16,22.62,22.67,22.26,22.33,22.5284,60.54,52652949
12/27/16,22.71,22.735,22.54,22.61,22.5779,65.91,39988630
12/23/16,22.51,22.65,22.43,22.60,22.5699,65.81,38187752
12/22/16,22.60,22.73,22.47,22.54,22.5624,65.24,67123500
12/21/16,22.72,22.72,22.47,22.63,22.568,66.79,61079086
12/20/16,22.63,22.83,22.61,22.71,22.5525,68.13,83879520
12/19/16,22.60,22.72,22.33,22.48,22.5132,66.33,97508910
12/16/16,23.32,23.32,22.65,22.66,22.5214,69.18,147497746
12/15/16,22.90,23.39,22.80,23.16,22.4868,77.79,162025814
12/14/16,22.31,23.30,22.21,22.67,22.3185,74.95,225340901
12/13/16,22.80,22.88,22.29,22.61,22.2306,74.58,118204085
12/12/16,23.00,23.25,22.535,22.61,22.1358,74.58,136985960
12/09/16,22.95,23.17,22.78,23.09,22.0173,83.03,130590406
12/08/16,22.79,23.24,22.69,22.95,21.7491,82.49,182693888
12/07/16,22.19,22.57,21.95,22.57,21.4488,80.97,168005152
12/06/16,22.09,22.16,21.72,22.16,21.1685,79.16,120789194
12/05/16,21.47,21.869,21.46,21.84,20.9207,77.62,130377307
12/02/16,21.49,21.50,21.02,21.23,20.6908,74.25,128468708
12/01/16,21.42,21.94,21.34,21.50,20.5561,79.15,199233944
11/30/16,20.77,21.19,20.72,21.12,20.3201,77.18,191699579
11/29/16,20.38,20.54,20.25,20.29,20.1201,71.78,114216829
11/28/16,20.67,20.85,20.25,20.30,20.0776,71.97,108651231
11/25/16,20.62,20.875,20.50,20.86,20.022,83.51,62610385
11/23/16,20.42,20.66,20.20,20.56,19.8125,82.08,110963157
11/22/16,20.45,20.47,20.12,20.30,19.6256,80.74,104771816
11/21/16,20.10,20.35,20.01,20.33,19.457,81.39,117479106
11/18/16,20.06,20.14,19.87,20.00,19.2388,79.71,120620238
11/17/16,19.76,20.22,19.705,20.08,19.0485,81.37,167979154
11/16/16,19.78,19.96,19.68,19.75,18.7906,79.76,126734547
11/15/16,19.79,20.18,19.60,20.16,18.5508,88.57,190293076
11/14/16,19.41,20.20,19.40,20.08,18.1485,88.34,320959880
11/11/16,18.64,19.03,18.63,19.02,17.6656,84.42,212952487
11/10/16,18.26,18.99,18.25,18.76,17.327,83.13,304986450
11/09/16,17.66,18.05,17.40,17.97,16.9688,77.99,319516880
11/08/16,16.82,17.105,16.71,17.00,16.7185,66.27,95842770
11/07/16,16.86,17.04,16.85,17.01,16.6481,66.61,91581902
11/04/16,16.53,16.71,16.3535,16.55,16.5576,57.26,82437373
11/03/16,16.475,16.67,16.45,16.48,16.5596,55.49,69690374
11/02/16,16.46,16.56,16.28,16.48,16.5794,55.49,119202034
11/01/16,16.56,16.75,16.33,16.61,16.6043,59.42,88587059
10/31/16,16.68,16.73,16.50,16.50,16.6029,57.03,70387630
10/28/16,16.95,16.98,16.50,16.68,16.6286,62.63,115123601
10/27/16,16.95,17.10,16.8644,16.91,16.6158,70.88,97937253
10/26/16,16.64,16.87,16.62,16.87,16.5422,70.25,58730367
10/25/16,16.71,16.82,16.68,16.72,16.4603,67.81,49350278
10/24/16,16.75,16.80,16.61,16.77,16.3953,69.57,68244817
10/21/16,16.46,16.67,16.40,16.67,16.3016,68.03,77954926
10/20/16,16.45,16.63,16.41,16.56,16.2096,66.28,88081209
10/19/16,16.30,16.53,16.28,16.47,16.1219,64.82,97968987
10/18/16,16.19,16.27,16.11,16.26,16.0349,61.17,71433078
10/17/16,16.17,16.195,15.90,16.05,15.9787,57.04,101795541
10/14/16,16.15,16.23,15.94,16.00,15.9608,56.00,108865677
10/13/16,16.09,16.09,15.60,15.83,15.951,52.38,78636990
10/12/16,16.09,16.24,16.01,16.03,15.9813,57.56,67165750
10/11/16,16.26,16.33,16.025,16.11,15.9691,59.75,77373955
10/10/16,16.215,16.40,16.185,16.30,15.9339,65.24,64158491
10/07/16,16.19,16.25,15.98,16.13,15.8424,62.37,99605412
10/06/16,16.17,16.23,16.035,16.22,15.7705,65.01,75886664
10/05/16,15.96,16.23,15.96,16.11,15.6581,63.24,86056859
10/04/16,15.70,16.05,15.67,15.80,15.5452,57.65,98501476
10/03/16,15.59,15.73,15.50,15.63,15.4814,54.09,69873051
09/30/16,15.26,15.73,15.17,15.65,15.4443,54.59,119428684
09/29/16,15.38,15.50,15.06,15.16,15.3929,42.47,78997682
09/28/16,15.36,15.39,15.15,15.38,15.4511,47.79,66076402
09/27/16,15.01,15.34,14.81,15.29,15.4689,45.18,81992627
09/26/16,15.40,15.44,15.02,15.09,15.5136,38.88,94972090
09/23/16,15.53,15.67,15.50,15.52,15.6195,50.46,51604424
09/22/16,15.69,15.71,15.50,15.60,15.6444,53.20,75611314
09/21/16,15.71,15.83,15.39,15.65,15.6555,54.92,95464559
09/20/16,15.74,15.76,15.51,15.60,15.6568,53.52,68210398
09/19/16,15.55,15.78,15.55,15.59,15.671,53.25,66186415
09/16/16,15.66,15.68,15.48,15.49,15.6913,50.59,90926246
09/15/16,15.64,15.745,15.58,15.67,15.7416,55.92,67899709
09/14/16,15.67,15.84,15.56,15.63,15.7595,54.94,75528119
09/13/16,15.67,15.86,15.55,15.72,15.7919,57.61,89317564
09/12/16,15.65,15.94,15.48,15.90,15.8099,63.34,109723978
09/09/16,15.91,16.15,15.74,15.74,15.7873,60.06,135182534
09/08/16,15.77,15.94,15.68,15.86,15.7991,64.05,69292664
09/07/16,15.72,15.85,15.65,15.70,15.7839,60.83,63310328
09/06/16,16.05,16.06,15.70,15.78,15.8049,63.47,96542163
09/02/16,15.94,16.06,15.82,16.00,15.8111,71.38,100997299
09/01/16,16.15,16.15,15.75,15.98,15.7639,71.07,128812599
08/31/16,16.21,16.24,15.88,16.14,15.7099,77.16,127664267
08/30/16,15.87,16.23,15.80,16.19,15.6024,79.13,121280568
08/29/16,15.81,16.01,15.775,15.84,15.4555,74.98,120144925
