Date,C.Open,C.High,C.Low,C.Close,EMA (C; 9),RSI (C; 14),VOL (C).Volume
03/17/17,61.16,61.27,60.20,60.37,60.9319,51.01,32281850
03/16/17,61.05,61.41,60.77,61.15,61.0724,57.46,15198253
03/15/17,61.70,61.78,60.455,60.84,61.053,55.37,20086941
03/14/17,61.33,61.47,60.81,61.44,61.1062,60.72,11819667
03/13/17,61.54,61.79,60.98,61.53,61.0228,61.54,13481512
03/10/17,61.94,62.03,60.92,61.49,60.896,61.33,17421872
03/09/17,61.36,62.09,61.23,61.55,60.7475,61.81,21429345
03/08/17,61.56,62.53,61.06,61.11,60.5469,59.63,30723959
03/07/17,60.19,60.71,59.775,60.50,60.4061,56.43,17297849
03/06/17,60.80,60.88,60.26,60.28,60.3826,55.24,14979380
03/03/17,60.39,61.25,60.33,61.00,60.4083,60.24,15188780
03/02/17,61.68,61.87,60.59,60.63,60.2604,58.44,17270346
03/01/17,61.20,61.94,61.00,61.54,60.168,65.16,26421724
02/28/17,59.67,60.09,59.48,59.81,59.825,56.29,17237455
02/27/17,59.56,60.24,59.4099,60.02,59.8287,57.95,15711367
02/24/17,59.88,60.18,59.11,59.56,59.7809,55.26,19900288
02/23/17,60.64,60.84,60.23,60.62,59.8361,64.02,14624376
02/22/17,60.18,60.95,60.02,60.62,59.6401,64.02,16025724
02/21/17,60.29,60.69,60.23,60.55,59.3952,63.69,15812721
02/17/17,59.70,60.17,59.40,60.17,59.1064,61.95,15120623
02/16/17,60.35,60.50,59.76,60.38,58.8406,63.52,15916578
02/15/17,60.16,60.87,59.70,60.50,58.4557,64.38,22423933
02/14/17,59.00,60.109,58.75,59.83,57.9446,61.68,22359291
02/13/17,57.99,59.365,57.99,58.95,57.4733,57.76,22779759
02/10/17,57.82,57.95,57.13,57.63,57.1041,50.76,14421653
02/09/17,56.65,57.54,56.37,57.26,56.9726,48.54,18054082
02/08/17,56.92,56.92,56.14,56.32,56.9008,42.41,18626642
02/07/17,58.00,58.07,57.01,57.19,57.046,47.24,13996938
02/06/17,57.51,58.35,57.34,57.64,57.01,49.98,15680214
02/03/17,57.04,57.875,56.59,57.76,56.8525,50.71,21404139
02/02/17,55.49,56.21,55.23,55.98,56.6256,38.35,15586814
02/01/17,56.72,56.98,55.88,56.05,56.787,38.71,17441473
01/31/17,56.33,56.96,55.575,55.83,56.9712,37.01,29221002
01/30/17,56.51,56.68,55.76,56.61,57.2565,40.72,17537643
01/27/17,57.39,57.41,56.72,57.11,57.4182,43.31,17074243
01/26/17,57.60,57.975,57.05,57.36,57.4952,44.63,20792703
01/25/17,57.90,57.92,57.10,57.69,57.529,46.35,21492914
01/24/17,55.96,57.15,55.675,56.74,57.4888,40.16,18416436
01/23/17,56.12,56.29,55.42,55.68,57.676,32.04,23130215
01/20/17,56.94,57.12,56.03,56.11,58.175,33.76,27722281
01/19/17,57.53,57.60,56.39,56.66,58.6912,36.07,24932449
01/18/17,57.99,58.28,57.10,57.39,59.199,39.39,29276183
01/17/17,59.01,59.32,58.03,58.38,59.6513,44.56,25013769
01/13/17,59.45,60.32,59.38,59.63,59.9691,52.66,21045164
01/12/17,59.53,59.8198,58.76,59.23,60.0538,49.96,22778873
01/11/17,59.66,60.00,59.245,59.96,60.2598,55.31,20737634
01/10/17,60.20,60.85,59.95,60.23,60.3347,57.42,13483329
01/09/17,60.15,60.64,59.67,60.22,60.3609,57.37,14592998
01/06/17,60.68,60.84,60.08,60.55,60.3962,59.78,16778439
01/05/17,60.97,61.43,59.91,60.34,60.3577,58.75,18317911
